"year","stand","trapno","size","spp","loose_sds_filled","loose_sds_unfilled","cones","cones_sds_filled","cones_sds_unfilled","cones_sds_all","germintrap","total_viable_sds"
2009,"AE10",1,0.17008125,"ABLA",1,0,1,NA,NA,0,0,1
2009,"AE10",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AE10",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AE10",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AE10",5,0.17008125,"ABLA",1,0,0,NA,NA,0,0,1
2009,"AE10",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AG05",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AG05",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AG05",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AG05",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AG05",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AG05",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AM16",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AM16",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AM16",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AM16",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AM16",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AM16",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AR07",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AR07",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AR07",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AR07",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AR07",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AR07",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AV06",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AV06",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AV06",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AV06",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AV06",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AV06",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AX15",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AX15",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AX15",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AX15",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AX15",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"AX15",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"TB13",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"TB13",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"TB13",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"TB13",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"TB13",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"TB13",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"TO04",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"TO04",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"TO04",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"TO04",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"TO04",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2009,"TO04",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AB08",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AB08",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AB08",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AB08",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AB08",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AB08",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AE10",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AE10",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AE10",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AE10",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AE10",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AE10",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AG05",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AG05",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AG05",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AG05",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AG05",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AG05",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AM16",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AM16",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AM16",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AM16",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AM16",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AM16",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AO03",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AO03",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AO03",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AO03",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AO03",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AO03",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AR07",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AR07",2,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AR07",3,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AR07",4,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AR07",5,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AR07",6,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
2010,"AV02",1,0.17008125,"ABLA",0,0,0,NA,NA,0,0,0
