PlotNo,UTME,UTMN,Elevation
TO11,584621.1356,5205170.092,564
TA01,610145.8598,5177407.457,630
TO04,584939.3639,5176930.492,643
TB13,588009.0453,5176957.437,792
AV02,610556.8996,5186611.638,835
AO03,610732.7735,5186941.692,854
AG05,591330.8448,5177768.351,913
AV06,592817.6626,5181025.509,1035
AB08,611370.8198,5197308.085,1042
AX15,589782.2901,5178096.228,1062
AV14,587664.0964,5201350.58,1081
PP17,606387.9247,5194441.067,1128
AM16,594871.1274,5180195.108,1170
AE10,595968.9473,5180172.543,1431
AR07,595594.1124,5181074.091,1435
SUNR,602385.3529,5198107.645,1797
PARA,596776.8654,5181102.494,1595
SPRY,588509.6678,5196825.448,1762
