;spp;stand;max_seed;mean_seed;zeros;n_obs
1;ABAM;AB08;3;0.461538461538462;0.673076923076923;104
2;ABAM;AE10;46;5.86486486486486;0.243243243243243;111
3;ABAM;AG05;67;6.15454545454545;0.190909090909091;110
4;ABAM;AM16;15;1.28181818181818;0.636363636363636;110
5;ABAM;AO03;48;4.53535353535354;0.303030303030303;99
6;ABAM;AR07;15;1.56944444444444;0.625;72
7;ABAM;AV02;41;6.10606060606061;0.348484848484849;66
8;ABAM;AV06;57;6.25454545454545;0.327272727272727;110
9;ABAM;AV14;31;4.83333333333333;0.363636363636364;66
10;ABAM;AX15;1;0.0277777777777778;0.972222222222222;72
11;ABAM;PP17;2;0.138461538461538;0.892307692307692;65
12;ABAM;TA01;1;0.0194174757281553;0.980582524271845;103
13;ABAM;TB13;2;0.0555555555555556;0.958333333333333;72
14;ABAM;TO04;4;0.257425742574257;0.851485148514851;101
15;CANO;AB08;2;0.115384615384615;0.903846153846154;104
16;CANO;AE10;92;9.51351351351351;0.27027027027027;111
17;CANO;AM16;280;16.5636363636364;0.236363636363636;110
18;CANO;AR07;102;14.6944444444444;0.152777777777778;72
19;CANO;AV06;2;0.0636363636363636;0.945454545454545;110
20;CANO;AV14;3;0.136363636363636;0.893939393939394;66
21;CANO;AX15;0;0;1;72
22;CANO;PP17;7;0.276923076923077;0.907692307692308;65
23;PSME;AB08;26;3.93269230769231;0.326923076923077;104
24;PSME;AG05;77;10.1363636363636;0.154545454545455;110
25;PSME;AO03;73;8.62626262626263;0.0909090909090909;99
26;PSME;AV02;11;1.36363636363636;0.46969696969697;66
27;PSME;AV06;9;2.06363636363636;0.381818181818182;110
28;PSME;AX15;11;1.19444444444444;0.611111111111111;72
29;PSME;PP17;62;11.févr;0.123076923076923;65
30;PSME;TA01;87;14.378640776699;0.135922330097087;103
31;PSME;TB13;33;4.81944444444444;0.291666666666667;72
32;PSME;TO04;36;4.4950495049505;0.237623762376238;101
33;PSME;TO11;47;7.39393939393939;0.106060606060606;66
34;THPL;AB08;235;13.5673076923077;0.221153846153846;104
35;THPL;AG05;512;58.4272727272727;0.0545454545454545;110
36;THPL;AO03;1138;79.2323232323232;0.0101010101010101;99
37;THPL;AV02;27;3.01515151515152;0.393939393939394;66
38;THPL;AV06;132;6.54545454545455;0.354545454545455;110
39;THPL;AX15;92;8.09722222222222;0.277777777777778;72
40;THPL;TA01;12;0.980582524271845;0.640776699029126;103
41;THPL;TB13;121;24.7916666666667;0.194444444444444;72
42;THPL;TO04;1126;119.752475247525;0.0594059405940594;101
43;THPL;TO11;94;19.2575757575758;0.196969696969697;66
44;TSHE;AB08;837;170.942307692308;0.0192307692307692;104
45;TSHE;AG05;305;31.4909090909091;0.0454545454545455;110
46;TSHE;AM16;409;47.3363636363636;0.0636363636363636;110
47;TSHE;AO03;559;110.666666666667;0;99
48;TSHE;AV02;701;165.893939393939;0.0151515151515152;66
49;TSHE;AV06;258;46.9;0.0363636363636364;110
50;TSHE;AV14;1281;229.136363636364;0;66
51;TSHE;AX15;817;120.763888888889;0;72
52;TSHE;PP17;27;5.72307692307692;0.369230769230769;65
53;TSHE;TA01;124;21.7961165048544;0.058252427184466;103
54;TSHE;TB13;681;133.972222222222;0.0277777777777778;72
55;TSHE;TO04;551;126.782178217822;0;101
56;TSHE;TO11;747;176.878787878788;0.0151515151515152;66
