Year,Stand,Quadrat,Date,Light1,Light2,Light3,Light4,% Moisture1,% Moisture2,% Moisture3,% Moisture4,Veg%Cover,Nurselog%Cover,Moss%Cover,Litter%Cover,Bare%Cover,Rock%Cover,Tree%Cover,Log%Cover,Root%Cover,ABAM,CANO,PSME,THPL,TSHE,TSME,PICO,PIEN,ABLA,ABPR,PIMO,Notes
2008,AB08,1,28-07-08,10,13,NA,NA,1.1,0.2,0.7,0.9,15,0,75,25,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,
2008,AB08,2,28-07-08,13,11,NA,NA,1.4,4.8,0.1,NA,20,40,60,30,0,0,0,0,0,1,0,6,10,82,0,0,0,0,0,0,"10 Thpl seedlings were marked Cano/Thpl, and are assumed to be Thpl based on the relative abundance of that species in the plot (45.77 basal area vs. 0.43 basal area)"
2008,AB08,3,28-07-08,11,4,NA,NA,0,0.2,0.6,0.9,15,0,90,10,0,0,0,0,0,0,0,1,1,11,0,0,0,0,0,0,"1 Thpl seedlings were marked Cano/Thpl, and are assumed to be Thpl based on the relative abundance of that species in the plot (45.77 basal area vs. 0.43 basal area)"
2008,AB08,4,28-07-08,5,4,NA,NA,4.6,2.8,4.4,0.4,5,80,80,10,0,0,0,0,0,0,0,4,0,199,0,0,0,0,0,0,"9 Thpl seedlings were marked Cano/Thpl, and are assumed to be Thpl based on the relative abundance of that species in the plot (45.77 basal area vs. 0.43 basal area)"
2008,AB08,5,28-07-08,19,4,NA,NA,1.1,2.6,0.8,NA,5,0,95,5,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,
2008,AB08,6,28-07-08,2,5,NA,NA,NA,NA,1.1,NA,7,0,60,40,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,
2008,AE10,1,24-07-08,1,21,NA,NA,5.8,1.7,3.3,1.2,10,10,0,80,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,
2008,AE10,2,24-07-08,3,23,NA,NA,2.3,1.5,0.7,2.5,5,0,0,95,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,
2008,AE10,3,24-07-08,7,2,NA,NA,1.4,2.4,0.9,0.6,3,0,10,90,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,
2008,AE10,4,24-07-08,2,13,NA,NA,1.1,0.6,1.1,2.7,2,0,3,98,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,
2008,AE10,5,24-07-08,0,5,NA,NA,1.7,1.8,3.9,1.1,0,0,5,60,0,0,40,0,0,9,2,0,0,0,0,0,0,0,0,0,
2008,AE10,6,24-07-08,2,4,NA,NA,1.9,3.1,2.2,2.2,3,0,90,0,0,0,5,0,0,3,5,0,0,0,0,0,0,0,0,0,
2008,AG05,1,26-06-08,3,5,NA,NA,3.7,1.2,1.6,0.5,0,20,45,70,0,0,0,0,0,7,0,0,28,4,0,0,0,0,0,0,
2008,AG05,2,26-06-08,6,7,NA,NA,3,3.7,2.5,NA,0,50,5,70,0,0,0,0,0,5,0,0,193,9,0,0,0,0,0,0,
2008,AG05,3,26-06-08,8,8,NA,NA,2.2,1.1,1.8,NA,0,0,0,100,0,0,30,0,0,3,0,2,72,4,0,0,0,0,0,0,
2008,AG05,4,26-06-08,4,4,NA,NA,1.1,1.4,0.3,0.8,0,0,10,90,0,0,0,0,0,3,0,1,24,3,0,0,0,0,0,0,
2008,AG05,5,26-06-08,10,7,NA,NA,1.8,2.2,0.7,0.8,15,0,5,95,0,0,0,0,0,1,0,0,29,6,0,0,0,0,0,0,
2008,AG05,6,26-06-08,0,1,NA,NA,3.7,2.4,1.3,1.5,5,0,0,0,0,0,0,0,0,0,0,1,17,5,0,0,0,0,0,0,"This row of data was labeled as 'bad' on data sheet, but not clear why"
2008,AM16,1,01-08-08,8,17,NA,NA,0.4,0.3,2.3,3.3,20,3,30,50,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"2 seedlings were labeled as Xano? - I assume they are Cano (there are many Cano, but no Thpl in AM16 permanent plot)"
2008,AM16,2,01-08-08,24,36,NA,NA,2.4,3.1,1.1,2.1,2,0,45,55,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,"6 seedlings were labeled as Xano? - I assume they are Cano (There are many Cano, but no Thpl in AM16 permanent stand)"
2008,AM16,3,01-08-08,16,36,NA,NA,5.4,2.7,1.1,2.6,1,10,20,70,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
2008,AM16,4,01-08-08,31,9,NA,NA,20.5,17.4,19.4,4.3,50,0,20,80,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,
2008,AM16,5,01-08-08,18,10,NA,NA,22.3,20.6,22.3,18.9,45,0,50,50,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,"2 seedlings labeled Tsuga? are assumed to be Tsme - it is doubly as abundant as Tshe in this plot (but there are plenty of Tshe, so this is a guess)"
2008,AM16,6,01-08-08,2,3,NA,NA,7.4,0.3,6.7,11.4,40,5,5,90,0,0,0,0,0,3,2,0,0,0,8,0,0,0,0,0,"8 seedlings labeled Tsuga? are assumed to be Tsme - it is doubly as abundant as Tshe in this plot (but there are plenty of Tshe, so this is a guess)"
2008,AO03,1,29-07-08,0,1,NA,NA,2.3,2.1,1.6,5.7,95,0,10,90,0,0,0,0,0,1,0,1,118,79,0,0,0,0,0,0,
