Stand,Quadrat,Date,Light1,Light2,Light3,Light4,% Moisture1,% Moisture2,% Moisture3,% Moisture4,Veg%Cover,Nurselog%Cover,Moss%Cover,Litter%Cover,Bare%Cover,Rock%Cover,Tree%Cover,ABAM,CANO,PSME,THPL,TSHE,TSME,PICO,PIEN,ABLA,ABPR,PIMO,TABR,Field Notes,Lab Notes
AB08,1,25-06-13,22,14,18,8,2.9,1.9,1.1,0.5,30,0,70,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AB08,2,25-06-13,12,8,5,4,1.3,0.6,NA,0,20,0,80,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,
AB08,3,25-06-13,6,10,7,19,3.6,2.3,1.2,6.4,15,0,95,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AB08,4,25-06-13,19,9,11,14,4.9,2.3,1.5,0.8,80,75,90,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AB08,5,25-06-13,12,13,7,18,1.2,2.1,2,2.6,5,0,95,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AB08,6,25-06-13,8,12,6,7,0.1,1,3.1,1.1,50,50,60,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,
AE10,1,16-07-13,49,38,5,3,2.9,0.7,0.4,0.5,30,10,0,90,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,
AE10,2,16-07-13,43,6,20,7,2.5,NA,NA,0.3,80,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AE10,3,16-07-13,15,7,10,13,NA,1.3,0.8,NA,13,0,5,95,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,
AE10,4,16-07-13,18,18,13,11,0.6,2.7,0.3,NA,15,0,5,85,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,,
AE10,5,16-07-13,9,8,14,15,0.3,NA,0.4,NA,0,0,25,65,5,0,0,1,5,0,0,0,0,0,0,0,0,0,0,trees roots,
AE10,6,16-07-13,15,10,12,14,0.6,0,1.4,NA,10,0,5,90,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,,
AG05,1,18-06-13,6,6,7,4,1.4,2,1.8,0.2,1,20,25,53,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
AG05,2,18-06-13,5,6,4,4,NA,1.4,2.2,0,0,30,10,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,`,
AG05,3,18-06-13,10,5,9,NA,0.2,0.8,5.6,NA,0,0,10,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,,
AG05,4,18-06-13,3,6,2,2,1,NA,0.1,0.1,10,0,20,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AG05,5,18-06-13,5,10,10,8,1.7,0.7,1.1,0.5,40,0,20,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,very big-tabr? Need to distinguish,
AG05,6,18-06-13,5,5,4,4,0.6,0.7,1.8,0.5,20,0,10,70,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,"eeks, tabr looks very similar to Thpl except for size",
AM16,1,15-07-13,20,44,17,19,0.5,1.2,0.3,2.2,65,10,25,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
AM16,2,15-07-13,35,17,31,18,4.2,0.2,2.2,2.7,45,0,30,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AM16,3,15-07-13,6,10,15,16,0.1,2.4,1.9,0.3,70,15,10,80,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
AM16,4,15-07-13,10,15,16,20,8.6,9.6,4.7,6.4,90,0,10,90,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,,
AM16,5,15-07-13,0,2,5,1,17.3,18.1,20,19.8,85,0,90,10,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,
AM16,6,15-07-13,2,4,2,5,5.5,4.4,3.4,0.4,80,5,10,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
AO03,1,27-06-13,28,8,16,20,8.7,9.5,12.8,7.8,100,0,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AO03,2,27-06-13,4,4,5,5,,3.9,3.3,1.2,20,50,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AO03,3,27-06-13,7,8,32,9,6.4,4.1,3.2,5.5,100,0,0,100,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,,
AO03,4,27-06-13,8,13,15,12,NA,NA,2,6.2,60,70,0,30,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,,
AO03,5,27-06-13,4,8,8,5,2.2,5.8,2.1,3.5,50,20,10,70,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,,
AO03,6,27-06-13,8,9,9,17,7.6,6.2,3.5,8,80,5,10,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AR07,1,15-07-13,7,9,10,10,5.3,NA,1.1,1.2,20,60,0,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
AR07,2,15-07-13,8,9,7,5,3.9,4.5,0.7,NA,30,20,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AR07,3,15-07-13,13,12,7,7,0.4,0.3,1.5,0.6,50,0,20,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
AR07,4,15-07-13,14,15,16,12,2.3,3.4,4.7,3.4,60,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AR07,5,15-07-13,11,10,9,10,2.5,1.9,2.2,3.2,50,0,5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AR07,6,15-07-13,8,7,8,8,2.6,4.8,0.7,1.8,45,25,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AV02,1,26-06-13,2,2,2,1,5,9.7,1.1,2,10,0,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
AV02,2,26-06-13,8,7,2,7,14.3,13.1,8.3,0.2,2,0,2,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
AV02,3,26-06-13,4,2,4,4,5.6,0.4,3.8,5.1,0,0,2,97,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,
AV02,4,26-06-13,5,6,3,4,5.1,1.8,0.8,14.8,1,0,30,65,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,
AV02,5,26-06-13,2,5,3,2,3.6,4.7,3.4,3,15,0,50,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,
AV02,6,26-06-13,10,7,5,5,7,4.7,2.9,2.8,2,50,60,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,
AV06,1,20-06-13,9,6,14,16,2.2,7.6,7.9,11.9,10,30,15,20,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,tree cover is a fallen tree that is not yet decayed,
AV06,2,20-06-13,6,5,14,13,1.8,4.3,6.7,6.1,30,0,25,40,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,
AV06,3,20-06-13,8,5,7,13,8.1,5.5,3.9,2.9,10,0,20,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AV06,4,20-06-13,7,6,8,11,2.9,9,4.2,8.7,10,0,2,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
AV06,5,20-06-13,9,16,13,6,3.5,2.9,3.5,0.3,10,0,15,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AV06,6,20-06-13,12,8,21,9,7.7,5,6.4,0.3,30,0,30,20,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
AV14,1,09-07-13,3,5,7,9,malfunction,malfunction,malfunction,malfunction,50,0,15,75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
AV14,2,09-07-13,8,8,11,12,malfunction,malfunction,malfunction,malfunction,45,30,40,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
AV14,3,09-07-13,5,6,8,9,13,10.5,1,13.6,15,0,30,70,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
AV14,4,09-07-13,5,4,5,6,3,3,0.8,7.1,1,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AV14,5,09-07-13,9,7,5,4,8.4,5.7,2.8,2.6,0,10,5,95,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
AV14,6,09-07-13,2,4,6,5,6.1,10.9,8,2.5,5,40,45,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AX15,1,19-06-13,9,5,4,11,1.8,2.4,2.5,1.4,3,15,1,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AX15,2,19-06-13,6,5,5,6,0.1,0,0,NA,1,0,3,94,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no tagged or newly tagged seedlings,
AX15,3,19-06-13,4,11,8,5,0.5,NA,0.3,0.2,0,0,1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AX15,4,19-06-13,4,3,8,6,3.6,0.4,0.7,2.4,1,0,3,92,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AX15,5,19-06-13,6,4,6,5,0.1,NA,0,0.1,0,0,1,95,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AX15,6,19-06-13,4,6,8,9,1.7,0,0.3,2.2,1,20,0,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
PP17,1,27-06-13,7,2,3,7,NA,2.9,4.9,0.1,0,0,2,95,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,,
PP17,2,27-06-13,9,1,8,3,0.3,0.4,NA,1.2,15,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
PP17,3,27-06-13,50,29,22,24,2.7,5.9,7,5.6,10,0,25,35,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,,
PP17,4,27-06-13,51,38,41,59,3.1,1.5,5.2,1.4,0,0,6,80,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
PP17,5,27-06-13,5,7,17,8,NA,NA,NA,0.5,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
PP17,6,27-06-13,26,34,28,22,1.9,5,6.3,4.5,0,0,35,70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
SPRY,1,31-07-13,48,24,43,51,0.5,1.1,0.5,2.5,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
SPRY,2,31-07-13,27,31,3,32,NA,1.3,9.7,198,98,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
SPRY,3,31-07-13,8,13,7,8,1.9,0.8,NA,0,30,0,0,30,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,,
SPRY,4,31-07-13,9,16,13,11,NA,1.5,16.4,14.1,10,40,20,5,80,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
SPRY,5,31-07-13,6,10,4,7,1.3,NA,2.8,1.1,10,50,2,33,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,in creek,
SPRY,6,31-07-13,11,7,9,7,NA,NA,NA,NA,15,35,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
SUNR,1,15-08-13,9,8,10,8,NA,NA,NA,NA,20,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
SUNR,2,15-08-13,5,7,8,7,2.2,NA,NA,NA,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
SUNR,3,15-08-13,21,23,18,15,NA,0.2,3.7,2.1,5,0,5,95,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,"found one Abies unidentified, couldn't tell Abla/Abam",
SUNR,4,15-08-13,19,23,12,5,0,1.1,0.7,5.4,5,0,0,90,0,0,5,1,0,0,0,0,0,0,0,3,0,0,0,"tree cover was fallen log, one of new first years still had the seed attatched!  ",
SUNR,5,15-08-13,6,8,10,5,0.6,1.2,NA,NA,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,
SUNR,6,15-08-13,3,0,3,5,0.3,0.6,NA,NA,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
TB13,1,20-06-13,12,10,13,15,6.1,1.4,5.6,4.1,0,0,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
TB13,2,20-06-13,9,13,16,9,2.2,1.2,1.6,1.9,0,0,88,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
TB13,3,20-06-13,14,8,10,9,2.4,3,2.4,0.5,0,0,79,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
