Stand,Quadrat,Date,Light1,Light2,Light3,Light4,% Moisture1,% Moisture2,% Moisture3,% Moisture4,Veg%Cover,Nurselog%Cover,Moss%Cover,Litter%Cover,Bare%Cover,Rock%Cover,Tree%Cover,ABAM,CANO,PSME,THPL,TSHE,TSME,PICO,PIEN,ABLA,ABPR,PIMO,Field Notes,Lab Notes
AB08,1,10-07-14,19,22,19,23,0.8,0.1,1.4,1.5,30,0,75,20,0,0,0,0,0,0,0,4,0,0,0,0,0,0,cover data taken from 6/24/14. All of the adult cedars we observed in this stand were THPL.,
AB08,2,10-07-14,2,9,6,7,1.4,0.2,NA,NA,45,60,65,35,0,0,0,1,0,1,8,115,0,0,0,0,0,0,All of the adult cedars we observed in this stand were THPL.,
AB08,3,10-07-14,3,15,8,2,1,1.4,0.4,1,25,0,5,5,0,0,0,0,0,2,0,20,0,0,0,0,0,0,All of the adult cedars we observed in this stand were THPL.,
AB08,4,10-07-14,13,6,6,13,0.1,1.1,0.7,2.4,70,95,80,5,0,0,0,1,0,1,28,140,0,0,0,0,0,0,All of the adult cedars we observed in this stand were THPL.,
AB08,5,10-07-14,31,26,21,17,1.8,1.2,2.1,0.7,15,0,95,5,0,0,0,0,0,1,0,20,0,0,0,0,0,0,All of the adult cedars we observed in this stand were THPL.,
AB08,6,10-07-14,25,25,26,25,1.4,NA,NA,0.3,5,0,60,40,0,0,0,0,0,2,7,30,0,0,0,0,0,0,All of the adult cedars we observed in this stand were THPL.,
AE10,1,15-07-14,3,3,4,21,0.8,0.4,1.1,1.5,80,0,0,75,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,
AE10,2,15-07-14,8,24,5,10,3.2,4.9,1.1,0.2,60,0,0,90,0,0,0,2,1,0,0,0,0,0,0,0,0,0,,
AE10,3,15-07-14,13,13,6,12,2.2,0.2,0.4,0.2,15,0,15,90,0,0,0,11,7,0,0,0,0,0,0,0,0,0,,
AE10,4,15-07-14,7,10,8,3,0.4,NA,NA,NA,5,0,5,95,0,0,0,15,3,0,0,0,0,0,0,0,0,0,,
AE10,5,15-07-14,3,12,7,9,3.6,3.5,2.4,3.8,0,0,2,95,0,0,5,6,5,0,0,0,0,0,0,0,0,0,,
AE10,6,15-07-14,3,7,11,8,NA,NA,1.1,0.5,5,0,1,99,0,0,0,16,5,0,0,0,0,0,0,0,0,0,,
AG05,1,16-06-14,11,16,14,13,4.7,0.5,5.8,7.2,0,0,75,30,0,0,0,0,0,1,2,3,0,0,0,0,0,0,30% log (not a nurse log),
AG05,2,16-06-14,17,11,10,17,3,3.1,2.8,NA,0,60,0,50,0,0,0,2,0,6,2,3,0,0,0,0,0,0,,
AG05,3,16-06-14,6,12,10,9,4,1.1,4.8,4.0,0,0,20,50,0,0,0,0,0,0,0,10,0,0,0,0,0,0,40% living tree,
