Stand,Quadrat,Date,Light1,Light2,Light3,Light4,% Moisture1,% Moisture2,% Moisture3,% Moisture4,Veg%Cover,Nurselog%Cover,Moss%Cover,Litter%Cover,Bare%Cover,ABAM,CANO,PSME,THPL,TSHE,TSME,PICO,PIEN,ABLA,ABPR,PIMO,Field Notes,Lab Notes
AB08,1,16-06-16,17,12,10,16,13.5,19,16.2,12.9,40,0,60,60,1,0,0,0,0,0,0,0,0,0,0,0,,
AB08,2,16-06-16,12,25,20,22,17.7,8.2,11.8,23.6,70,50,55,50,0,0,1,0,2,10,0,0,0,0,0,0,,
AB08,3,16-06-16,17,16,15,22,21.9,22.8,5.5,24.5,45,0,99,10,1,0,0,0,0,13,0,0,0,0,0,0,,
AB08,4,16-06-16,14,26,22,15,20.2,23.5,26.6,16.1,60,90,95,40,0,0,0,0,2,11,0,0,0,0,0,0,,
AB08,5,16-06-16,10,7,11,19,20.3,10,21.1,18.4,3,5,92,8,0,0,0,0,0,5,0,0,0,0,0,0,,
AB08,6,16-06-16,8,14,13,12,13.1,15.5,6.3,5.8,20,20,85,15,0,0,0,0,0,1,0,0,0,0,0,0,,
AE10,1,29-06-16,9,7,11,14,19.8,19.2,18.5,26.5,40,20,1,95,0,0,1,0,0,0,0,0,0,0,0,0,,
AE10,2,29-06-16,27,24,20,22,26.2,22.4,17.9,21.1,50,0,3,95,0,0,0,0,0,0,0,0,0,0,0,0,small tree trunks = 8%,
AE10,3,29-06-16,12,8,9,18,18.8,19.1,18,20.8,15,0,5,95,0,0,0,0,0,0,0,0,0,0,0,0,,
AE10,4,29-06-16,13,8,13,14,19.9,17.7,12.9,15.8,3,0,2,98,0,0,0,0,0,0,0,0,0,0,0,0,,
AE10,5,29-06-16,12,7,10,11,17.6,19.3,10.5,19.7,0,0,10,90,0,3,2,0,0,0,0,0,0,0,0,0,tree roots = ~7%,
AE10,6,29-06-16,8,9,13,10,23.3,14,17.4,16.8,5,0,3,98,0,1,0,0,0,0,0,0,0,0,0,0,seed trap bent -> needs replacement soon; changed SM batteries (all 5): 68% -> 79% and added dessicants ; tree root = 3%,
AG05,1,14-06-16,16,15,15,11,22.6,23,17.2,1.8,0,30,90,95,0,0,0,0,0,3,0,0,0,0,0,0,,
