Stand,Quadrat,Date,Light1,Light2,Light3,Light4,% Moisture1,% Moisture2,% Moisture3,% Moisture4,Veg%Cover,Nurselog%Cover,Moss%Cover,Litter%Cover,Bare%Cover,Tree%Cover,Rock%Cover,ABAM,CANO,PSME,THPL,TSHE,TSME,PICO,PIEN,ABLA,ABPR,PIMO,TABR,Field Notes,Lab Notes
AB08,1,06-18-20,15,12,8,24,22.4,36.2,31.4,25.8,45,0,40,59,1,,,0,0,0,0,1,0,0,0,0,0,0,0,,
AB08,2,06-18-20,15,16,10,31,21,16.9,28.6,17.1,70,50,80,5,5,,,0,0,0,0,2,0,0,0,0,0,0,0,,
AB08,3,06-18-20,16,28,13,14,22.3,28,20.1,18.2,20,0,90,5,5,,,0,0,0,0,3,0,0,0,0,0,0,0,,
AB08,4,06-18-20,32,7,25,20,47.9,49.1,39.2,25.6,75,70,80,8,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,,
AB08,5,06-18-20,27,19,18,16,18.2,26.6,18.2,26.4,10,0,97,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AB08,6,06-18-20,20,18,18,19,11.8,13,13.2,24.1,12,0,88,10,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,
AE10,1,07-08-20,24,20,12,5,23,20.4,21.8,26,15,25,5,60,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,,
AE10,2,07-08-20,21,26,8,6,26.4,19,27.7,39.6,30,0,1,80,15,3,0,0,13,0,0,0,0,0,0,0,0,0,0,,
AE10,3,07-08-20,7,16,11,14,19.8,14.8,21.4,20.4,25,0,20,80,0,0,0,2,96,0,0,1,0,0,0,0,0,0,0,,
AE10,4,07-08-20,22,17,20,17,21.7,28.2,20.3,27.2,5,0,10,85,5,1,0,0,19,0,0,1,0,0,0,0,0,0,0,,
AE10,5,07-08-20,13,17,11,16,27.5,16,13.8,4.9,0,0,15,60,1,40,0,1,24,0,0,0,0,0,0,0,0,0,0,,
AE10,6,07-08-20,12,15,15,18,11.8,21.8,26.8,18.6,8,0,10,60,20,5,0,0,21,0,0,2,0,0,0,0,0,0,0,,
AG05,1,06-22-20,8,10,6,10,21.4,29.2,19.5,24,0,30,20,50,3,0,0,1,0,0,14,34,0,0,0,0,0,0,0,,
AG05,2,06-22-20,17,19,15,17,17.6,15.8,41.8,20,0,0,10,83,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,
AG05,3,06-22-20,20,14,12,10,4.7,16,23.6,16,20,0,8,15,5,60,0,0,0,0,61,18,0,0,0,0,0,0,0,,
AG05,4,06-22-20,11,13,8,19,15.6,14,23,29.2,3,0,93,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
AG05,5,06-22-20,5,14,10,11,10.5,14,8.2,12.8,5,60,5,25,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,
AG05,6,06-22-20,15,5,6,9,3.8,15.7,10.6,7,30,0,2,65,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
AM16,1,07-06-20,23,59,25,20,15.7,25.2,13.2,18.4,15,5,25,70,1,0,0,0,32,0,0,0,3,0,0,0,0,0,0,,
AM16,2,07-06-20,29,26,40,22,21.8,27.4,18.5,12.3,35,0,30,65,1,0,0,0,7,0,0,1,2,0,0,0,0,0,0,,
AM16,3,07-06-20,35,11,25,32,22.9,20.6,11.4,21.2,75,20,20,80,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,
AM16,4,07-06-20,22,21,22,16,45.6,62.7,37.1,30.4,95,0,5,40,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,,
AM16,5,07-06-20,9,9,9,15,80.1,82.8,81.6,84.1,95,0,65,20,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"had to take several readings for quad 5 moisture because kept reading ""too wet""",
AM16,6,07-06-20,10,8,10,11,14.9,38.6,21.5,9.3,65,8,5,40,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,,
