Stand,Quadrat,Date,Light1,Light2,Light3,Light4,% Moisture1,% Moisture2,% Moisture3,% Moisture4,Veg%Cover,Nurselog%Cover,Moss%Cover,Litter%Cover,Bare%Cover,ABAM,CANO,PSME,THPL,TSHE,TSME,PICO,PIEN,ABLA,ABPR,PIMO,TABR,ABGR,Field Notes,Lab Notes,,,,
AB08,1,17-06-21,4,3,7,19,22.6,23.8,19.6,16.6,30,0,40,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
AB08,2,17-06-21,6,19,4,11,20.7,5.6,34,19.3,43,40,55,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,moss on nurse log is double counted,,,,,
AB08,3,17-06-21,6,23,11,20,25,12,16.8,28.5,6,0,92,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
AB08,4,17-06-21,24,27,10,15,31.5,23.8,32.8,25.8,20,60,85,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,moss on nurse log is double counted,,,,,
AB08,5,17-06-21,20,21,25,29,25.6,29.9,23.7,23.2,1,4,93,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
AB08,6,17-06-21,17,7,28,18,12.7,5.8,10.4,21,3,1,65,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,root acting kind of like a nurse log,,,,,
AE10,1,7-12-2021,2,1,28,14,14.4,9.4,10.7,14.6,35,20,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
AE10,2,7-12-2021,30,20,3,5,11.3,2.2,6.7,12.4,45,0,0,96,4,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,
AE10,3,7-12-2021,12,7,3,13,4.8,8.6,5.4,6.6,10,0,1,98,1,1,5,0,0,0,0,0,0,0,0,0,0,0,,,,,,
AE10,4,7-12-2021,12,13,6,7,6.2,9.4,10.6,16.2,2,0,2,97,1,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,
AE10,5,7-14-2021,2,6,11,3,5.6,9.8,7.4,10.4,0,0,3,50,47,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,
AE10,6,7-14-2021,8,7,9,10,3.4,11.8,12,0.6,4,0,1,60,39,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,,,
AG05,1,22-06-21,4,3,7,5,19,21,44.5,25.3,0,30,15,65,0,0,0,0,13,3,0,0,0,0,0,0,0,0,,,,,,
AG05,2,22-06-21,11,5,6,7,18,16.8,24.6,1.4,0,25,15,75,0,0,0,0,8,1,0,0,0,0,0,0,0,0,,,,,,
AG05,3,22-06-21,5,4,11,4,32.4,22,19.4,18,3,95,5,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,trees and bark recently fallen near or on plot ,,,,,
AG05,4,22-06-21,3,5,7,10,22.4,24.7,19.3,13.7,5,0,90,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
AG05,5,22-06-21,6,10,14,5,32.6,18.1,19.7,19.4,5,50,3,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
AG05,6,22-06-21,4,10,4,5,14.6,5.6,10.6,7.5,15,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
AM16,1,7-13-2021,59,29,18,13,14.8,16.4,12.6,17.4,40,3,8,89,0,0,10,0,0,0,0,0,0,0,0,0,0,0,"We weren't sure if some of the CANOs were small second year seedlings or large first year germinants, though we're fairly certain they were germinants.",,,,,
