Stand,Quadrat,Date collected,Light 1 (densiometer),Light 2,Light 3,Light 4,% Moisture 1,% Moisture 2,% Moisture 3,% Moisture 4,Nurselog % cover,Moss % cover,Litter % cover,Bare % cover,Vegetation % cover (in addition to the previous 4 which tally up to 100%),other % cover,ABAM,CANO,PSME,THPL,TSHE,TSME,ACCI,PICO,PIEN,ABLA,ABPR,PIMO,TABR,ABGR,Abies sp.,Field Notes,
TA01 ,1,14-06-22,20,11,19,12,21.2,30.3,36.4,13.3,0,80,20,0,25,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,"redo germinant censusing at TA01, too early",
TA01 ,2,14-06-22,11,20,16,15,17.4,15.9,16.4,16.5,0,95,5,0,25,0,0,0,17,1,3,0,1,0,0,0,0,0,0,0,0,,
TA01,3,14-06-22,13,10,13,6,24,11,19.6,27.2,15,15,45,25,0.1,0,0,0,4,0,5,0,1,0,0,0,0,0,0,0,0,,
TA01,4,14-06-22,16,13,21,16,21.3,17.6,20,13.1,0,95,5,0,20,0,1,0,17,3,2,0,0,0,0,0,0,0,0,0,0,ABAM could be an ABGR ,
TA01,5,14-06-22,17,5,14,12,27.9,12.6,23.6,21.8,30,45,25,0,30,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,
TA01,6,14-06-22,12,11,17,14,24.7,29.2,17.4,19.8,5,15,85,0,10,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,,
TA01,7,14-06-22,5,6,7,11,35,38.2,39.6,37.4,0,80,20,0,3,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,,
TA01,8,14-06-22,18,19,9,8,21.6,15,14.6,31.5,0,95,5,0,40,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,,
TA01,9,14-06-22,8,10,13,6,23.4,23.3,32,28.6,40,45,15,0,20,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,,
TA01,10,14-06-22,6,12,10,7,25.3,25.4,27.9,22.5,35,35,30,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,,
