Year,Stand,Trapno,ABAM,ABLA,CANO,PSME,THPL,TSHE,TSME,Notes
2010,AB08,1,0,0,0,0,0,16,0,
2010,AB08,2,0,0,0,0,2,41,0,
2010,AB08,3,0,0,0,0,1,56,0,
2010,AB08,4,0,0,0,0,0,13,0,
2010,AB08,5,0,0,0,0,1,47,0,
2010,AB08,6,0,0,0,0,2,31,0,
2010,AE10,1,0,0,0,0,0,0,0,
2010,AE10,2,0,0,0,0,0,0,0,
2010,AE10,3,0,0,0,0,0,0,0,
2010,AE10,4,0,0,0,0,0,0,0,
2010,AE10,5,0,0,0,0,0,0,0,
2010,AE10,6,0,0,0,0,0,0,0,
2010,AG05,1,0,0,0,0,0,10,0,
2010,AG05,2,0,0,0,0,2,13,0,
2010,AG05,3,0,0,0,0,0,0,0,
2010,AG05,4,0,0,0,0,1,4,0,3 abam roots
2010,AG05,5,0,0,0,0,0,0,0,
2010,AG05,6,0,0,0,0,0,10,0,
2010,AM16,1,0,0,0,0,0,0,0,
2010,AM16,2,0,0,0,0,0,0,0,
2010,AM16,3,0,0,0,0,0,0,0,
2010,AM16,4,0,0,0,0,0,0,0,
2010,AM16,5,0,0,0,0,0,0,0,
2010,AM16,6,0,0,0,0,0,0,0,
2010,AO03,1,0,0,0,0,1,4,0,
2010,AO03,2,4,0,0,0,5,7,0,
2010,AO03,3,0,0,0,3,18,96,0,bark chunks on top of wire from log above it
2010,AO03,4,0,0,0,0,3,24,0,trap had been knocked over by some creature
2010,AO03,5,2,0,0,0,0,35,0,
2010,AO03,6,7,0,0,0,0,37,0,
2010,AR07,1,0,0,0,0,0,0,0,
2010,AR07,2,0,0,0,0,0,0,0,
2010,AR07,3,0,0,0,0,0,0,0,
2010,AR07,4,0,0,0,0,0,0,0,
2010,AR07,5,0,0,0,0,0,0,0,
2010,AR07,6,0,0,0,0,0,0,0,
2010,AV02,1,0,0,0,0,0,5,0,
2010,AV02,2,0,0,0,0,0,13,0,
2010,AV02,3,0,0,0,1,1,16,0,
2010,AV02,4,0,0,0,0,0,12,0,
2010,AV02,5,0,0,0,0,0,14,0,
2010,AV02,6,0,0,0,0,0,7,0,
2010,AV06,1,3,0,0,0,0,38,0,
2010,AV06,2,6,0,0,0,0,57,0,
2010,AV06,3,1,0,0,0,0,24,0,
2010,AV06,4,5,0,0,0,1,8,0,only seedlings with cotyledons out counted
2010,AV06,5,1,0,0,0,3,31,0,
2010,AV06,6,6,0,0,0,0,2,0,
2010,AV14,1,0,0,0,0,0,1,0,
2010,AV14,2,0,0,0,0,0,0,0,
2010,AV14,3,0,0,0,0,0,0,0,
2010,AV14,4,0,0,0,0,0,3,0,
2010,AV14,5,0,0,0,0,0,3,0,
2010,AV14,6,0,0,0,0,0,3,0,
2010,AX15,1,0,0,0,0,0,1,0,
2010,AX15,2,0,0,0,0,0,1,0,
2010,AX15,3,0,0,0,0,0,1,0,
2010,AX15,4,0,0,0,0,0,0,0,
2010,AX15,5,0,0,0,0,0,1,0,screen binder clip off
2010,AX15,6,0,0,0,0,0,3,0,
2010,PARA,1,NA,NA,NA,NA,NA,NA,NA,No data sheet
2010,PARA,2,NA,NA,NA,NA,NA,NA,NA,No data sheet
2010,PARA,3,NA,NA,NA,NA,NA,NA,NA,No data sheet
2010,PARA,4,NA,NA,NA,NA,NA,NA,NA,No data sheet
2010,PARA,5,NA,NA,NA,NA,NA,NA,NA,No data sheet
2010,PARA,6,NA,NA,NA,NA,NA,NA,NA,No data sheet
2010,PP17,1,0,0,0,1,0,1,0,
2010,PP17,2,0,0,0,0,0,0,0,
2010,PP17,3,NA,NA,NA,NA,NA,NA,NA,Crushed by tree - no data
2010,PP17,4,1,0,0,0,0,0,0,The 1 abam is a AB??? Not sure what kind of abies
2010,PP17,5,0,0,0,0,0,0,0,
2010,PP17,6,0,0,0,0,0,0,0,"Top wire and mesh came out of basket, found the mesh 10 m away with no seedlings ---Trap collected!"
2010,TA01,1,0,0,0,0,0,5,0,
2010,TA01,2,0,0,0,0,0,13,0,
2010,TA01,3,0,0,0,1,1,16,0,
2010,TA01,4,0,0,0,0,0,12,0,
2010,TA01,5,0,0,0,0,0,14,0,
2010,TA01,6,0,0,0,0,0,7,0,
2010,TB13,1,0,0,0,0,6,33,0,
2010,TB13,2,0,0,0,0,2,13,0,
2010,TB13,3,0,0,0,0,1,5,0,
2010,TB13,4,0,0,0,0,1,1,0,
2010,TB13,5,0,0,0,0,1,0,0,
2010,TB13,6,0,0,0,0,2,2,0,
2010,TO04,1,0,0,0,0,16,18,0,
2010,TO04,2,0,0,0,0,51,35,0,
2010,TO04,3,0,0,0,0,5,25,0,
2010,TO04,4,0,0,0,0,2,0,0,
2010,TO04,5,0,0,0,0,0,0,0,
2010,TO04,6,0,0,0,0,1,0,0,
2010,TO11,1,0,0,0,0,0,0,0,
2010,TO11,2,0,0,0,0,3,0,0,
2010,TO11,3,0,0,0,0,1,4,0,
2010,TO11,4,0,0,0,0,0,1,0,
2010,TO11,5,0,0,0,0,1,0,0,
2010,TO11,6,0,0,0,0,0,5,0,
