Year,Stand,Trapno,Date,Species,Germinants,Field Notes,Data Entry Notes
2019,SPRY,2,07/23/2019,ABAM,1,,
2019,SUNR,4,07/30/2019,-,-,Basket broken but no need for replacement,
2019,TO11,2,07/01/2019,TSHE,1,Lots of veg overhead,
2019,TO11,3,07/01/2019,TSHE,6,,
2019,AV14,1,07/02/2019,TSHE,3,Large stick on top,
2019,AV14,2,07/02/2019,TSHE,16,,
2019,AV14,3,07/02/2019,ABAM,1,,
2019,AV14,3,07/02/2019,TSHE,29,,
2019,AV14,3,07/02/2019,CANO,1,,
2019,AV14,4,07/02/2019,ABAM,2,,
2019,AV14,4,07/02/2019,TSHE,25,,
2019,AV14,5,07/02/2019,-,-,branches atop trap,
2019,AV14,6,07/02/2019,TSHE,15,,
2019,AE10,1,06/26/2019,ABAM,6,,
2019,AE10,2,06/26/2019,ABAM,15,,
2019,AE10,3,06/26/2019,ABAM,1,,
2019,AE10,4,06/26/2019,ABAM,9,,
2019,AE10,5,06/26/2019,ABAM,1,,
2019,AE10,6,06/26/2019,ABAM,1,,
2019,AM16,4,06/27/2019,NA,0,"Replaced lining, B.T. (Does not need relacement)",
2019,AM16,5,06/27/2019,TSHE,2,Broken trap (Does not need replacement),
2019,PARA ,1,07/10/2019,unknown,1,1 unknown,
2019,PARA ,3,07/10/2019,TSME,1,,
2019,PP17,6,06/20/2019,PSME,2,,
2019,AO03,4,06/19/2019,TSHE,4,1 cone on top of trap,
2019,AO03,4,06/19/2019,THPL,40,1 cone on top of trap,
2019,AO03,5,06/19/2019,TSHE,2,4 cones on top of trap,
2019,AO03,6,06/19/2019,TSHE,18,2 cones on top of trap,
2019,AO03,1,06/19/2019,NA,0,"missing, suspected human interference",
2019,AO03,2,06/19/2019,NA,0,,
2019,AO03,3,06/19/2019,NA,0,,
2019,AV02,1,06/19/2019,ABAM,1,,
2019,AV02,1,06/19/2019,TSHE,1,,
2019,AV02,2,06/19/2019,TSHE,1,,
2019,AV02,3,06/19/2019,ABAM,2,3- piece of duct tape,
2019,AV02,4,06/19/2019,ABAM,2,,
2019,AV02,5,06/19/2019,ABAM,1,5- liner replaced,
2019,AV02,6,06/19/2019,ABAM,4,,
2019,AV02,6,06/19/2019,TSHE,2,,
2019,TA01,2,06/19/2019,NA,0,"3 dougfir cones on top, needs a new liner (old trap type)",
2019,AG05,1,06/25/2019,TSHE,4,,
2019,AG05,1,06/25/2019,PSME,2,,
2019,AG05,2,06/25/2019,TSHE,1,"log overhead, possibly blocking seed trap",
2019,AG05,2,06/25/2019,THPL,2,"log overhead, possibly blocking seed trap",
2019,AG05,3,06/25/2019,TSHE,5,1 additional unknown germinant,
2019,AG05,3,06/25/2019,THPL,6,1 additional unknown germinant,
2019,AG05,3,06/25/2019,PSME,2,1 additional unknown germinant,
2019,AG05,4,06/25/2019,TSHE,6,Old seed trap (covered in debris) discovered near quadrat #4 - could not be extracted,
2019,AG05,4,06/25/2019,THPL,2,Old seed trap (covered in debris) discovered near quadrat #4 - could not be extracted,
2019,AG05,5,06/25/2019,THPL,2,,
2019,AG05,5,06/25/2019,PSME,3,,
2019,AG05,6,06/25/2019,PSME,2,,
2019,AX15,6,06/26/2019,TSHE,1,,
2019,AR07,4,06/26/2019,ABAM,1,,
2019,TO04,1,06/24/2019,THPL,1,,
2019,TO04,2,06/24/2019,NA,0,"2- small hole in net patched with duct tape, 6- sheltered by sword fern + devil's club",
2019,TO04,6,06/24/2019,NA,0,"2- small hole in net patched with duct tape, 6- sheltered by sword fern + devil's club",
2019,AV06,1,06/24/2019,TSHE,2,,
2019,AV06,2,06/24/2019,NA,0,1 cone on top ,
2019,AV06,3,06/24/2019,TSHE,17,,
2019,AV06,3,06/24/2019,THPL,2,,
2019,AV06,4,06/24/2019,ABAM,2,"Replace trap, giant piece of bark fell on and covered trap, broke trap",
2019,AV06,4,06/24/2019,TSHE,17,"Replace trap, giant piece of bark fell on and covered trap, broke trap",
2019,AV06,6,06/24/2019,ABAM,1,,
2019,AV06,6,06/24/2019,TSME,1,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
