Year,Stand,Trapno,Date,Species,Germinants,Field Notes
2023,AB08,7,"June 12, 2023",NA,0,
2023,AB08,8,"June 12, 2023",NA,0,had to change the liner
2023,AB08,9,"June 12, 2023",NA,0,
2023,AB08,10,"June 12, 2023",NA,0,
2023,AB08,11,"June 12, 2023",NA,0,found the chicken wire on the side. The trap was completely open.
2023,AB08,12,"June 12, 2023",NA,0,
2023,AB08,13,"June 12, 2023",NA,0,
2023,AB08,14,"June 12, 2023",NA,0,
2023,AB08,15,"June 12, 2023",NA,0,
2023,AO03,7,"June 13, 2023",ABAM,1,
2023,AO03,8,"June 13, 2023",NA,0,
2023,AO03,9,"June 13, 2023",NA,0,
2023,AO03,10,"June 13, 2023",NA,0,Branches w/ ceder cones on top of chicken wire
2023,AO03,11,"June 13, 2023",NA,0,
2023,AO03,12,"June 13, 2023",NA,0,repaired a small hole in the mesh
2023,AO03,13,"June 13, 2023",NA,0,
2023,AO03,14,"June 13, 2023",NA,0,"one hemlock cone on top, big hole --> repaired the liner. Site 14 had a hole in the liner and it looks like there is an animal living under the seed trap. One idea is to add chicken wire to the bottom of the trap."
2023,AO03,15,"June 13, 2023",NA,0,
2023,TA01,7,"June 13, 2023",NA,0,
2023,TA01,8,"June 13, 2023",NA,0,
2023,TA01,9,"June 13, 2023",NA,0,
2023,TA01,10,"June 13, 2023",NA,0,Repaired holes in mesh
2023,TA01,11,"June 13, 2023",NA,0,
2023,TA01,12,"June 13, 2023",NA,0,
2023,TA01,13,"June 13, 2023",NA,0,
2023,TA01,14,"June 13, 2023",NA,0,
2023,TA01,15,"June 13, 2023",NA,0,
2023,TO04,7,"June 19, 2023",TSHE,1,it was really wet
2023,TO04,7,"June 19, 2023",PSME,1,it was really wet
2023,TO04,8,"June 19, 2023",TSHE,6,it was really wet
2023,TO04,8,"June 19, 2023",PSME,1,it was really wet
2023,TO04,9,"June 19, 2023",TSHE,2,it was really wet
2023,TO04,10,"June 21, 2023",NA,0,2 TSHE on the top of the trap
2023,TO04,11,"June 21, 2023",TSHE,17,
2023,TO04,11,"June 21, 2023",PSME,1,
2023,TO04,12,"June 21, 2023",TSHE,34,
2023,TO04,12,"June 21, 2023",PSME,1,
2023,TO04,13,"June 21, 2023",TSHE,5,
2023,TO04,14,"June 21, 2023",NA,0,Changed the trap for reapir
2023,TO04,15,"June 21, 2023",TSHE,2,Stepped into plot 15 accidentally.
2023,AG05,7,"June 22, 2023",TSME,1,
2023,AG05,8,"June 23, 2023",ABAM,1,replaced liner
2023,AG05,9,"June 24, 2023",ABAM,2,
2023,AG05,10,"June 25, 2023",TSME,2,
2023,AG05,11,"June 26, 2023",TSME,2,at first we thought that a treee had fallen on top of site 11. turned out this was one of the old sites. the data here is the correct data for the actual site 11
2023,AG05,12,"June 27, 2023",NA,0,
2023,AG05,13,"June 28, 2023",NA,0,
2023,AG05,14,"June 29, 2023",NA,0,
2023,AG05,15,"June 30, 2023",NA,0,
2023,AV06,7,"June 23, 2023",ABAM,1,
2023,AV06,8,"June 23, 2023",NA,0,
2023,AV06,9,"June 23, 2023",ABAM,2,
2023,AV06,10,"June 22, 2023",ABAM,4,
2023,AV06,11,"June 23, 2023",NA,0,
2023,AV06,12,"June 22, 2023",NA,0,
2023,AV06,13,"June 22, 2023",NA,0,
2023,AV06,14,"June 22, 2023",ABAM,2,
2023,AV06,15,"June 22, 2023",ABAM,1,
2023,AV06,15,"June 22, 2023",THPL,1,
2023,AM16,7,"June 27, 2023",NA,0,
2023,AM16,8,"June 27, 2023",NA,0,
2023,AM16,9,"June 27, 2023",NA,0,
2023,AM16,10,"June 27, 2023",NA,0,the trap was destroyed and needs to be replaced
2023,AM16,11,"June 27, 2023",ABAM,1,
2023,AM16,12,"June 27, 2023",NA,0,
2023,AM16,13,"June 27, 2023",ABAM,2,
2023,AM16,14,"June 27, 2023",NA,0,
2023,AM16,15,"June 27, 2023",NA,0,"At this site the trap boxes were in bad shape, not broken but bended and maybe need replacement next year."
2023,AE10,7,"June 28, 2023",ABAM,8,"basket is a it bent, but not bad."
2023,AE10,8,"June 28, 2023",ABAM,1,"very torn net, replaced"
2023,AE10,9,"June 28, 2023",NA,0,
2023,AE10,10,"June 28, 2023",ABAM,5,
2023,AE10,11,"June 28, 2023",ABAM,1,"net very torn, replaced."
2023,AE10,12,"June 28, 2023",ABAM,1,
2023,AE10,13,"June 28, 2023",NA,0,
2023,AE10,14,"June 28, 2023",NA,0,bent basket
2023,AE10,15,"June 28, 2023",ABAM,3,bent basket
2023,PARA,1,"July 10, 2023",ABAM,24,
2023,PARA,2,"July 10, 2023",ABAM,40,
2023,PARA,2,"July 10, 2023",TSSP,17,the Tsuga species is probably Tshe.
2023,PARA,3,"July 10, 2023",ABAM,21,
2023,PARA,4,"July 10, 2023",ABAM,3,basket slightly broken
2023,PARA,5,"July 10, 2023",ABAM,13,
2023,PARA,6,"July 10, 2023",NA,0,basket found tipped upside down abt 5m downhill of where is was supposed to be. data will not be useable. Need to replace the wires attatching the basket to the ground!! 
2023,SUNR,1,"July 18, 2023",TSME,1,there were holes in the net --> net replaced. The Tsme found was still in its seed coat.
2023,SUNR,2,"July 18, 2023",NA,0,
2023,SUNR,3,"July 18, 2023",NA,0,found chickenwire off the basket and net torn.
2023,SUNR,4,"July 18, 2023",NA,0,
2023,SUNR,5,"July 18, 2023",NA,0,
2023,SUNR,6,"July 18, 2023",NA,0,
