Year,Stand,Trap Number,Date,Species,Germinants,Field Notes
2024,AB08,7,06/10/2024,0,0,
2024,AB08,8,06/10/2024,0,0,Small liner repair
2024,AB08,9,06/10/2024,0,0,
2024,AB08,10,06/10/2024,TSHE,2,
2024,AB08,11,06/10/2024,0,0,All good - veg could be clipped
2024,AB08,12,06/10/2024,0,0,All good - quadrat needs screw
2024,AB08,13,06/10/2024,0,0,
2024,AB08,14,06/10/2024,0,0,
2024,AB08,15,06/10/2024,0,0,
2024,AO03,7,06/11/2024,0,0,
2024,AO03,8,06/11/2024,0,0,Small liner repair
2024,AO03,9,06/11/2024,0,0,"Liner repair, basket cracked"
2024,AO03,10,06/11/2024,0,0,"Liner repair, basket cracked"
2024,AO03,11,06/11/2024,0,0,Liner replaced
2024,AO03,12,06/11/2024,0,0,Small liner repair
2024,AO03,13,06/11/2024,0,0,Small liner repair
2024,AO03,14,06/11/2024,0,0,
2024,AO03,15,06/11/2024,0,0,Small liner repair
2024,TA01,7,06/12/2024,0,0,
2024,TA01,8,06/12/2024,0,0,
2024,TA01,9,06/12/2024,0,0,
2024,TA01,10,06/12/2024,0,0,
2024,TA01,11,06/12/2024,0,0,
2024,TA01,12,06/12/2024,0,0,Small liner repair
2024,TA01,13,06/12/2024,0,0,
2024,TA01,14,06/12/2024,0,0,
2024,TA01,15,06/12/2024,0,0,Small liner repair
2024,TO04,7,6/13/2024,0,0,
2024,TO04,8,6/13/2024,0,0,
2024,TO04,9,6/13/2024,0,0,
2024,TO04,10,6/13/2024,TSHE,2,
2024,TO04,11,6/13/2024,0,0,
2024,TO04,12,6/13/2024,0,0,
2024,TO04,13,6/13/2024,TSHE,1,
2024,TO04,14,6/13/2024,0,0,
2024,TO04,15,6/13/2024,0,0,Replaced liner
2024,AG05,7,6/13/2024,TSHE,2,Liner repair
2024,AG05,8,6/13/2024,0,0,
2024,AG05,9,6/13/2024,0,0,Liner repair
2024,AG05,10,6/13/2024,0,0,Liner repair
2024,AG05,11,6/13/2024,0,0,
2024,AG05,12,6/13/2024,TSHE,1,
2024,AG05,13,6/13/2024,0,0,Replaced liner
2024,AG05,14,6/13/2024,0,0,
2024,AG05,15,6/13/2024,0,0,Liner repair
2024,AV06,7,6/19/2024,0,0,2nd year ABAM beneath liner
2024,AV06,8,6/19/2024,0,0,
2024,AV06,9,6/19/2024,0,0,
2024,AV06,10,6/19/2024,0,0,
2024,AV06,11,6/19/2024,0,0,
2024,AV06,12,6/19/2024,0,0,Several liner repairs
2024,AV06,13,6/19/2024,0,0,
2024,AV06,14,6/19/2024,0,0,ABAM seedling below liner
2024,AV06,15,6/19/2024,0,0,Replaced liner
2024,AM16,7,6/20/2024,0,0,Basket is crushed and cracked
2024,AM16,8,6/20/2024,0,0,
2024,AM16,9,6/20/2024,0,0,
2024,AM16,10,6/20/2024,0,0,Stagnant water and moss at the bottom. Replace chicken wire.
2024,AM16,11,6/20/2024,0,0,
2024,AM16,12,6/20/2024,0,0,Small liner repairs
2024,AM16,13,6/20/2024,0,0,
2024,AM16,14,6/20/2024,0,0,Basket is crushed and cracked
2024,AM16,15,6/20/2024,0,0,Basket is crushed and cracked
2024,AE10,7,07/02/2024,0,0,"All damaged baskets replaced, liners repaired"
2024,AE10,8,07/02/2024,0,0,
2024,AE10,9,07/02/2024,0,0,
2024,AE10,10,07/02/2024,0,0,
2024,AE10,11,07/02/2024,0,0,
2024,AE10,12,07/02/2024,0,0,
2024,AE10,13,07/02/2024,0,0,
2024,AE10,14,07/02/2024,0,0,
2024,AE10,15,07/02/2024,0,0,
2024,SUNR,1,7/15/2024,0,0,
2024,SUNR,2,7/15/2024,0,0,
2024,SUNR,3,7/15/2024,0,0,
2024,SUNR,4,7/15/2024,0,0,
2024,SUNR,5,7/15/2025,0,0,Liner repaired
2024,SUNR,6,7/15/2024,0,0,
2024,PARA,1,07/08/2024,0,0,"Broken basket, not replaced"
2024,PARA,2,07/08/2024,0,0,
2024,PARA,3,07/08/2024,0,0,
2024,PARA,4,07/08/2024,0,0,Under the snow as of July 8th
2024,PARA,5,07/08/2024,0,0,
2024,PARA,6,07/08/2024,0,0,
2024,PARA,7,07/10/2024,0,0,
2024,PARA,8,07/10/2024,0,0,Replaced liner
2024,PARA,9,07/10/2024,0,0,
2024,PARA,10,07/05/2024,0,0,Liner repaired
2024,PARA,11,07/09/2024,0,0,
2024,PARA,12,07/10/2024,0,0,Replaced liner and basket
2024,PARA,13,07/05/2024,0,0,Replaced liner and basket
2024,PARA,14,07/05/2024,0,0,"Replaced liner, basket may need replacement"
2024,PARA,15,07/09/2024,0,0,Liner repaired
