"year","stand","trapno","spp","germintrap"
2014,"AM16",2,"ABAM",2
2014,"AV06",3,"ABAM",1
2014,"AV06",4,"ABAM",1
2014,"AV06",5,"ABAM",2
2014,"SPRY",3,"ABAM",1
2014,"PARA",1,"ABLA",2
2014,"AB08",1,"PSME",1
2014,"AO03",5,"PSME",1
2014,"AO03",6,"PSME",1
2014,"TA01",3,"PSME",1
2014,"TB13",1,"PSME",1
2014,"TB13",3,"PSME",1
2014,"AB08",4,"THPL",3
2014,"AG05",2,"THPL",1
2014,"AG05",3,"THPL",2
2014,"AO03",1,"THPL",4
2014,"AO03",2,"THPL",2
2014,"AO03",3,"THPL",2
2014,"AO03",4,"THPL",10
2014,"AO03",5,"THPL",3
2014,"AO03",6,"THPL",28
2014,"AV06",5,"THPL",2
2014,"AV06",6,"THPL",1
2014,"AB08",3,"TSHE",5
2014,"AB08",4,"TSHE",5
2014,"AB08",5,"TSHE",4
2014,"AG05",3,"TSHE",2
2014,"AM16",5,"TSHE",3
2014,"AO03",2,"TSHE",3
2014,"AO03",3,"TSHE",4
2014,"AO03",4,"TSHE",6
2014,"AO03",5,"TSHE",1
2014,"AO03",6,"TSHE",46
2014,"AV02",6,"TSHE",1
2014,"AV06",1,"TSHE",1
2014,"AV06",2,"TSHE",4
2014,"AV06",3,"TSHE",2
2014,"AV06",4,"TSHE",4
2014,"AV06",5,"TSHE",1
2014,"AV14",2,"TSHE",1
2014,"AV14",3,"TSHE",1
2014,"AV14",4,"TSHE",4
2014,"AX15",2,"TSHE",1
2014,"AX15",3,"TSHE",5
2014,"AX15",4,"TSHE",8
2014,"AX15",5,"TSHE",2
2014,"AX15",6,"TSHE",1
2014,"TB13",1,"TSHE",5
2014,"TB13",6,"TSHE",1
2014,"TO04",2,"TSHE",3
2014,"TO04",5,"TSHE",2
2014,"TO04",6,"TSHE",1
2014,"TO11",2,"TSHE",1
2014,"TO11",3,"TSHE",5
2014,"AG05",1,"TSME",1
2014,"AG05",3,"TSME",1
2014,"AG05",5,"TSME",1
2014,"AM16",5,"TSME",1
2014,"AV06",5,"TSME",1
2014,"AX15",1,"TSME",1
2014,"AX15",4,"TSME",1
2014,"AX15",6,"TSME",1
