Year,Date,Stand,Trapno,Species,Whole_seeds,Unfilled_seeds,Cones,WholeSeeds_Cones,UnfilledSeeds_Cones,SeedsInCones,Notes
2011,29-10-10,TB13,1,PSME,2,0,0,NA,NA,0,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TB13,1,THPL,5,0,0,NA,NA,0,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TB13,1,TSHE,17,0,0,NA,NA,0,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TB13,2,PSME,3,3,1,NA,NA,0,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TB13,2,THPL,4,6,0,NA,NA,0,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TB13,2,TSHE,44,12,5,NA,NA,1,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TB13,3,PSME,0,12,1,NA,NA,0,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TB13,3,THPL,4,3,1,NA,NA,0,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TB13,3,TSHE,25,11,1,NA,NA,0,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TB13,4,PSME,3,3,0,NA,NA,0,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TB13,4,THPL,0,1,1,NA,NA,0,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TB13,4,TSHE,34,15,3,NA,NA,1,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TB13,5,PSME,0,4,0,NA,NA,0,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TB13,5,TSHE,11,12,3,NA,NA,4,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TB13,6,THPL,1,5,4,NA,NA,30,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TB13,6,TSHE,34,16,3,NA,NA,1,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,15-06-11,TB13,1,PSME,1,0,0,NA,NA,0,
2011,15-06-11,TB13,1,TSHE,11,2,12,NA,NA,1,
2011,15-06-11,TB13,2,PSME,0,0,1,NA,NA,3,
2011,15-06-11,TB13,2,THPL,1,1,1,NA,NA,0,
2011,15-06-11,TB13,2,TSHE,8,2,23,NA,NA,13,
2011,15-06-11,TB13,3,PSME,1,0,1,NA,NA,0,
2011,15-06-11,TB13,3,THPL,0,0,2,NA,NA,0,
2011,15-06-11,TB13,3,TSHE,7,0,29,NA,NA,31,
2011,15-06-11,TB13,4,PSME,3,0,1,NA,NA,16,
2011,15-06-11,TB13,4,THPL,1,2,2,NA,NA,NA,No seeds in cones? Check
2011,15-06-11,TB13,4,TSHE,17,3,10,NA,NA,3,
2011,15-06-11,TB13,5,THPL,2,1,3,NA,NA,0,
2011,15-06-11,TB13,5,TSHE,9,5,20,NA,NA,3,
2011,15-06-11,TB13,6,THPL,3,1,8,NA,NA,34,
2011,15-06-11,TB13,6,TSHE,26,7,37,NA,NA,109,
2011,29-10-10,TO04,1,PSME,1,2,0,NA,NA,0,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TO04,1,THPL,13,22,0,NA,NA,0,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TO04,1,TSHE,61,40,2,NA,NA,1,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TO04,2,PSME,3,0,0,NA,NA,0,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TO04,2,THPL,10,25,0,NA,NA,0,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TO04,2,TSHE,62,40,4,NA,NA,23,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TO04,3,THPL,15,28,0,NA,NA,0,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TO04,3,TSHE,79,27,2,NA,NA,0,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TO04,4,THPL,35,77,6,NA,NA,10,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TO04,4,TSHE,65,50,0,NA,NA,0,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TO04,5,ABAM,2,1,0,NA,NA,0,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TO04,5,ABGR,2,0,0,NA,NA,0,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TO04,5,PSME,0,1,0,NA,NA,0,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TO04,5,THPL,18,28,0,NA,NA,0,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TO04,5,TSHE,68,36,0,NA,NA,0,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TO04,6,PSME,1,0,0,NA,NA,0,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TO04,6,THPL,34,109,19,NA,NA,29,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,29-10-10,TO04,6,TSHE,76,36,0,NA,NA,0,Collected in fall 2010 - add to 2011 totals for 2010-2011 seed production estimates
2011,14-06-11,TO04,1,PSME,1,0,0,NA,NA,0,
2011,14-06-11,TO04,1,THPL,3,0,1,NA,NA,7,
2011,14-06-11,TO04,1,TSHE,25,16,25,NA,NA,102,
2011,14-06-11,TO04,2,THPL,16,0,13,NA,NA,28,
2011,14-06-11,TO04,2,TSHE,42,5,66,NA,NA,189,
2011,14-06-11,TO04,3,THPL,13,2,7,NA,NA,30,
2011,14-06-11,TO04,3,TSHE,25,15,12,NA,NA,38,
2011,14-06-11,TO04,4,THPL,13,1,15,NA,NA,23,
2011,14-06-11,TO04,4,TSHE,34,2,12,NA,NA,77,
2011,14-06-11,TO04,5,THPL,13,1,31,NA,NA,78,
2011,14-06-11,TO04,5,TSHE,11,15,41,NA,NA,58,
2011,14-06-11,TO04,6,THPL,22,3,35,NA,NA,76,
2011,14-06-11,TO04,6,TSHE,11,23,29,NA,NA,12,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
