Year,Stand,Trapno,Species,Filled_seeds,Unfilled_seeds,Cones,FilledSeeds_Cones,UnfilledSeeds_Cones,Field Notes,Data Entry Notes
2020,AB08,1,PSME,1,0,0,0,0,,
2020,AB08,1,THPL,3,0,0,0,0,,
2020,AB08,1,TSHE,26,4,7,2,0,,
2020,AB08,2,THPL,2,3,0,0,0,,
2020,AB08,2,TSHE,32,10,10,4,0,,
2020,AB08,3,TSHE,21,1,6,1,0,,
2020,AB08,5,TSHE,24,0,13,2,0,,
2020,AB08,6,THPL,5,0,2,11,0,,
2020,AB08,6,TSHE,16,6,31,0,0,,
2020,AB08,6,TSME,1,0,0,0,0,,
2020,AE10,1,ABAM,0,2,0,0,0,,
2020,AE10,1,ABPR,3,0,0,0,0,,
2020,AE10,2,ABAM,2,1,0,0,0,,
2020,AE10,2,CANO,6,0,0,0,0,,
2020,AE10,2,TSME,1,1,0,0,0,,
2020,AE10,3,ABAM,0,2,0,0,0,,
2020,AE10,3,ABLA,0,2,0,0,0,,
2020,AE10,3,CANO,7,0,0,0,0,,
2020,AE10,4,ABPR,2,0,0,0,0,,
2020,AE10,4,CANO,1,0,0,0,0,,
2020,AE10,5,ABAM,3,7,0,0,0,,
2020,AE10,5,TSME,3,0,0,0,0,,
2020,AE10,6,TSME,3,1,0,0,0,,
2020,AG05,1,PSME,2,1,0,0,0,,
2020,AG05,1,THPL,20,0,4,10,0,,
2020,AG05,1,TSHE,2,3,0,0,0,,
2020,AG05,2,PSME,2,2,0,0,0,,
2020,AG05,2,THPL,10,12,5,9,31,,
2020,AG05,2,TSHE,6,3,0,0,0,,
2020,AG05,3,ABAM,0,1,0,0,0,,
2020,AG05,3,PSME,0,2,0,0,0,,
2020,AG05,3,THPL,26,0,8,23,6,,
2020,AG05,3,TSHE,1,1,3,0,0,,
2020,AG05,4,ABAM,2,0,0,0,0,,
2020,AG05,4,PSME,4,2,0,0,0,,
2020,AG05,4,THPL,43,6,15,23,5,,
2020,AG05,4,TSHE,6,1,1,0,8,,
2020,AG05,5,ABAM,1,2,0,0,0,,
2020,AG05,5,PSME,2,0,1,0,0,,
2020,AG05,5,TABR,1,0,0,0,0,,
2020,AG05,5,THPL,64,0,54,122,26,,
2020,AG05,6,ABAM,1,2,0,0,0,,
2020,AG05,6,PSME,4,4,3,3,1,,
2020,AG05,6,THPL,22,0,14,61,0,,
2020,AG05,6,TSHE,6,0,1,0,0,,
2020,AM16,1,CANO,2,3,0,0,0,,
2020,AM16,1,TSHE,4,19,0,0,0,,
2020,AM16,1,TSME,34,0,0,0,0,,
2020,AM16,2,CANO,6,0,2,0,0,,
2020,AM16,2,TSME,39,6,0,0,0,,
2020,AM16,3,TSHE,12,4,0,0,0,,
2020,AM16,3,TSME,2,25,0,0,0,,
2020,AM16,4,TSME,26,2,4,12,1,,
2020,AM16,6,ABAM,0,1,0,0,0,,
2020,AM16,6,CANO,9,0,23,2,0,,
2020,AM16,6,TSME,30,2,0,0,0,,
2020,AO03,1,THPL,6,22,32,45,50,seed trap found on side,
2020,AO03,1,TSHE,10,6,12,3,2,,
2020,AO03,2,ABAM,1,1,0,0,0,,
2020,AO03,2,PSME,0,6,0,0,0,,
2020,AO03,2,THPL,76,0,65,178,0,,
2020,AO03,2,TSHE,14,17,9,1,0,,
2020,AO03,3,ABAM,1,0,0,0,0,,
2020,AO03,3,PSME,3,2,0,0,0,,
2020,AO03,3,THPL,84,0,85,233,31,,
2020,AO03,3,TSHE,46,15,51,6,6,,
2020,AO03,4,PSME,69,50,7,0,0,,
2020,AO03,4,THPL,360,249,54,76,164,,
2020,AO03,4,TSHE,179,45,13,17,6,,
2020,AO03,5,PSME,3,3,5,4,4,,
2020,AO03,5,THPL,167,0,18,17,0,,
2020,AO03,5,TSHE,20,4,13,0,0,,
2020,AO03,6,PSME,10,2,9,39,37,,
2020,AO03,6,THPL,28,85,7,19,10,,
2020,AO03,6,TSHE,17,4,3,1,0,,
2020,AR07,1,ABAM,0,1,0,0,0,,
2020,AR07,1,CANO,3,0,5,9,0,,
2020,AR07,1,TSME,18,1,19,49,29,,
2020,AR07,2,CANO,2,0,18,16,0,,
2020,AR07,2,TSME,2,1,1,2,0,,
2020,AR07,3,CANO,6,0,9,1,0,,
2020,AR07,3,TSME,13,3,0,0,0,,
2020,AR07,4,CANO,1,0,0,0,0,,
2020,AR07,4,TSME,19,0,1,1,2,,
2020,AR07,5,ABPR,0,2,0,0,0,,
2020,AR07,5,CANO,2,0,0,0,0,,
