Year,Stand,Trapno,Spp,FilledSds,UnfilledSds,Cones,FilledSds/cones,UnfilledSds/cones,notes,,
2021,AB08,1,PSME,1,0,0,0,0,NA,Sabine,
2021,AB08,1,TSHE,13,0,7,0,0,NA,Sabine,
2021,AB08,2,CANO,0,1,0,0,0,NA,Nathan,
2021,AB08,2,TSHE,25,2,8,1,0,NA,Nathan,
2021,AB08,3,CANO,1,0,0,0,0,"seed looks very old, maybe a scale?",Sabine,
2021,AB08,3,THPL,1,0,0,0,0,NA,Sabine,
2021,AB08,3,TSME,12,0,2,0,0,NA,Sabine,
2021,AB08,4,TSHE,20,2,7,0,0,,Samantha,
2021,AB08,4,PSME,0,1,0,0,0,,,
2021,AB08,4,CANO,1,4,0,0,0,,,
2021,AB08,4,THPL,1,0,0,0,0,,,
2021,AB08,5,TSHE,23,5,9,4,0,NA,Sabine,
2021,AB08,5,THPL,2,0,0,0,0,NA,Sabine,
2021,AB08,5,CANO,1,0,0,0,0,"Cano seed, not 100% certain - wings were deteriorated",Sabine,
2021,AB08,6,TSHE ,19,0,22,0,0,,,
2021,AB08,6,THPL,2,1,1,4,6,,,
2021,AB08,6,PSME,0,2,0,0,0,,,
2021,AB08,6,ALSP,1,0,0,0,0,"not expected at this site, could be ALRU or ALSI",,
2021,AE10,1,TSME,1,0,0,0,0,NA,Nathan,
2021,AE10,1,CANO,9,10,0,0,0,NA,Nathan,
2021,AE10,1,ABAM,1,1,0,0,0,species ID unsure (Abies),Nathan,
2021,AE10,2,CANO,6,4,1,0,0,NA,Sabine,
2021,AE10,2,ABPR,1,0,0,0,0,ID not certain!,Sabine,
2021,AE10,3,CANO,1,1,2,0,0,NA,Nathan,
2021,AE10,3,ABAM,1,0,0,0,0,species ID unsure (Abies),Nathan,
2021,AE10,4,CANO,7,1,0,0,0,,,
2021,AE10,5,CANO,3,1,1,0,0,NA,Nathan,
2021,AE10,5,ABAM,1,0,0,0,0,NA,Nathan,
2021,AE10,6,CANO,5,1,2,0,0,species ID unsure (Abies),Nathan,
2021,AE10,6,TSME,1,0,0,0,0,NA,Nathan,
2021,AG05,1,TSHE,2,1,0,0,0,NA,Sabine,
2021,AG05,1,THPL,64,62,2,0,6,difficult to say if filled or unfilled / con seeds quite desintegrated,Sabine,
2021,AG05,1,ABAM,1,1,0,0,0,likely ABAM seeds,Sabine,
