Year,Date,Stand,Trapno,Species,Whole_seeds,Unfilled_seeds,Cones,WholeSeeds_Cones,UnfilledSeeds_Cones,SeedsInCones,Notes
2017,20-Jun-17,AB08,1,THPL,4,2,0,0,0,0,
2017,20-Jun-17,AB08,1,TSHE,196,84,6,0,0,0,
2017,20-Jun-17,AB08,2,PSME,0,1,0,0,0,0,
2017,20-Jun-17,AB08,2,THPL,4,3,0,0,0,0,
2017,20-Jun-17,AB08,2,TSHE,180,93,10,18,0,18,
2017,20-Jun-17,AB08,3,THPL,1,0,0,0,0,0,
2017,20-Jun-17,AB08,3,TSHE,133,42,1,0,0,0,
2017,20-Jun-17,AB08,4,PSME,2,0,0,0,0,0,
2017,20-Jun-17,AB08,4,THPL,5,2,0,0,0,0,
2017,20-Jun-17,AB08,4,TSHE,243,61,7,11,8,19,
2017,20-Jun-17,AB08,5,PSME,4,3,0,0,0,0,
2017,20-Jun-17,AB08,5,THPL,6,2,0,0,0,0,
2017,20-Jun-17,AB08,5,TSHE,222,75,16,6,3,9,
2017,20-Jun-17,AB08,6,ABAM,1,0,0,0,0,0,
2017,20-Jun-17,AB08,6,PSME,2,0,0,0,0,0,1 dropped
2017,20-Jun-17,AB08,6,THPL,6,3,0,0,0,0,
2017,20-Jun-17,AB08,6,TSHE,259,29,33,13,3,16,1 dropped
2017,27-Jun-17,AE10,1,ABAM,5,0,0,0,0,0,
2017,27-Jun-17,AE10,1,CANO,4,0,0,0,0,0,
2017,27-Jun-17,AE10,1,TSME,1,0,0,0,0,0,
2017,27-Jun-17,AE10,2,ABAM,6,0,0,0,0,0,
2017,27-Jun-17,AE10,2,CANO,2,0,0,0,0,0,
2017,27-Jun-17,AE10,2,TSME,2,0,0,0,0,0,
2017,27-Jun-17,AE10,3,ABAM,9,0,0,0,0,0,
2017,27-Jun-17,AE10,3,CANO,5,0,0,0,0,0,
2017,27-Jun-17,AE10,3,TSME,3,0,0,0,0,0,
2017,27-Jun-17,AE10,4,ABAM,2,7,0,0,0,0,
2017,27-Jun-17,AE10,4,TSME,1,3,0,0,0,0,
2017,27-Jun-17,AE10,5,ABAM,2,0,0,0,0,0,
2017,27-Jun-17,AE10,5,CANO,4,0,0,0,0,0,
2017,27-Jun-17,AE10,5,TSME,1,0,0,0,0,0,
2017,27-Jun-17,AE10,6,ABAM,5,0,0,0,0,0,
2017,27-Jun-17,AE10,6,CANO,1,0,0,0,0,0,
2017,27-Jun-17,AE10,6,TSHE,0,1,0,0,0,0,
2017,27-Jun-17,AE10,6,TSME,1,1,0,0,0,0,
2017,13-Jun-17,AG05,1,ABAM,9,7,0,0,0,0,
2017,13-Jun-17,AG05,1,ABPR,4,7,0,0,0,0,
2017,13-Jun-17,AG05,1,PSME,7,7,0,0,0,0,
2017,13-Jun-17,AG05,1,THPL,141,190,2,1,12,13,
2017,13-Jun-17,AG05,1,TSHE,23,16,0,0,0,0,
2017,13-Jun-17,AG05,2,ABAM,6,3,0,0,0,0,(Abies cones too degraded to identify)
2017,13-Jun-17,AG05,2,ABLA,6,3,0,0,0,0,(Abies cones too degraded to identify)
2017,13-Jun-17,AG05,2,PSME,3,29,0,0,0,0,
2017,13-Jun-17,AG05,2,THPL,159,18,1,0,0,0,
2017,13-Jun-17,AG05,2,TSHE,1,11,0,0,0,0,
2017,13-Jun-17,AG05,3,ABAM,11,3,0,0,0,0,
2017,13-Jun-17,AG05,3,ABPR,3,0,0,0,0,0,
2017,13-Jun-17,AG05,3,PICO,1,2,0,0,0,0,
2017,13-Jun-17,AG05,3,PSME,5,6,0,2,1,3,
2017,13-Jun-17,AG05,3,THPL,82,61,0,0,0,0,
2017,13-Jun-17,AG05,3,TSHE,10,6,0,0,0,0,
2017,13-Jun-17,AG05,4,ABAM,11,0,0,0,0,0,"Two bags labeled as seed trap 6; trap 4 missing, assumed this was trap 4 (based on more ABGR and ABPR, matching previous years)"
2017,13-Jun-17,AG05,4,ABGR,5,0,0,0,0,0,"Two bags labeled as seed trap 6; trap 4 missing, assumed this was trap 4 (based on more ABGR and ABPR, matching previous years)"
2017,13-Jun-17,AG05,4,ABPR,11,4,0,0,0,0,"Two bags labeled as seed trap 6; trap 4 missing, assumed this was trap 4 (based on more ABGR and ABPR, matching previous years)"
2017,13-Jun-17,AG05,4,PSME,9,6,0,0,0,0,"Two bags labeled as seed trap 6; trap 4 missing, assumed this was trap 4 (based on more ABGR and ABPR, matching previous years)"
2017,13-Jun-17,AG05,4,THPL,117,70,0,0,0,0,"Two bags labeled as seed trap 6; trap 4 missing, assumed this was trap 4 (based on more ABGR and ABPR, matching previous years)"
2017,13-Jun-17,AG05,4,TSHE,11,8,0,0,0,0,"Two bags labeled as seed trap 6; trap 4 missing, assumed this was trap 4 (based on more ABGR and ABPR, matching previous years)"
2017,13-Jun-17,AG05,4,TSME,1,0,0,0,0,0,"Two bags labeled as seed trap 6; trap 4 missing, assumed this was trap 4 (based on more ABGR and ABPR, matching previous years)"
2017,13-Jun-17,AG05,5,ABAM,22,2,0,0,0,0,
2017,13-Jun-17,AG05,5,ABPR,11,6,0,0,0,0,
2017,13-Jun-17,AG05,5,PSME,5,1,0,0,0,0,
2017,13-Jun-17,AG05,5,THPL,112,137,13,25,34,59,
2017,13-Jun-17,AG05,5,TSHE,19,11,0,0,0,0,
2017,13-Jun-17,AG05,6,ABAM,21,11,0,0,0,0,"Two bags labeled as seed trap 6; trap 4 missing, assumed this was trap 6 (based on less ABGR and ABPR, matching previous years)"
2017,13-Jun-17,AG05,6,ABPR,9,0,0,0,0,0,"Two bags labeled as seed trap 6; trap 4 missing, assumed this was trap 6 (based on less ABGR and ABPR, matching previous years)"
2017,13-Jun-17,AG05,6,PSME,9,4,0,0,0,0,"Two bags labeled as seed trap 6; trap 4 missing, assumed this was trap 6 (based on less ABGR and ABPR, matching previous years)"
2017,13-Jun-17,AG05,6,THPL,113,83,8,26,25,51,"Two bags labeled as seed trap 6; trap 4 missing, assumed this was trap 6 (based on less ABGR and ABPR, matching previous years)"
2017,13-Jun-17,AG05,6,TSHE,27,13,0,0,0,0,"Two bags labeled as seed trap 6; trap 4 missing, assumed this was trap 6 (based on less ABGR and ABPR, matching previous years)"
2017,26-Jun-17,AM16,1,ABAM,5,1,0,0,0,0,
2017,26-Jun-17,AM16,1,ABPR,1,0,0,0,0,0,
