"country","year","stand","trapno","spp","loose_sds_filled","loose_sds_unfilled","cones","cones_sds_filled","cones_sds_unfilled","standardized_notes"
"US",2024,"AB08",7,"Mistletoe",34,5,0,0,0,"Species not expected for this stand"
"US",2024,"AB08",7,"Pseudotsuga menziesii",1,0,0,0,0,"Species not expected for this stand"
"US",2024,"AB08",7,"Thuja plicata",0,1,0,0,0,NA
"US",2024,"AB08",7,"Tsuga heterophylla",21,35,2,0,9,NA
"US",2024,"AB08",7,"Tsuga mertensiana",9,4,0,0,0,"Species not expected for this stand"
"US",2024,"AB08",8,"Mistletoe",13,0,0,0,0,"Species not expected for this stand"
"US",2024,"AB08",8,"Pseudotsuga menziesii",1,1,0,0,0,NA
"US",2024,"AB08",8,"Thuja plicata",1,0,1,0,0,NA
"US",2024,"AB08",8,"Tsuga heterophylla",31,37,1,0,5,NA
"US",2024,"AB08",8,"Tsuga mertensiana",15,4,0,0,0,"Species not expected for this stand"
"US",2024,"AB08",9,"Mistletoe",12,0,0,0,0,"Species not expected for this stand"
"US",2024,"AB08",9,"Pseudotsuga menziesii",1,3,0,0,0,NA
"US",2024,"AB08",9,"Thuja plicata",4,7,12,7,26,NA
"US",2024,"AB08",9,"Tsuga heterophylla",8,22,5,0,20,NA
"US",2024,"AB08",9,"Tsuga mertensiana",5,2,0,0,0,"Species not expected for this stand"
"US",2024,"AB08",10,"Mistletoe",10,2,0,0,0,"Species not expected for this stand"
"US",2024,"AB08",10,"Pseudotsuga menziesii",1,0,0,0,0,NA
"US",2024,"AB08",10,"Thuja plicata",1,1,0,0,0,NA
"US",2024,"AB08",10,"Tsuga heterophylla",30,65,20,0,85,NA
"US",2024,"AB08",10,"Tsuga mertensiana",20,5,0,0,0,"Species not expected for this stand"
"US",2024,"AB08",11,"Pseudotsuga menziesii",2,1,0,0,0,NA
"US",2024,"AB08",11,"Thuja plicata",0,0,1,0,0,NA
"US",2024,"AB08",11,"Tsuga heterophylla",33,23,3,0,9,NA
