Year,Date,Stand,Trapno,Species,Whole_seeds,Unfilled_seeds,Cones,WholeSeeds_Cones,UnfilledSeeds_Cones,SeedsInCones,Notes
2011,20-06-11,AB08,1,PSME,1,0,0,NA,NA,0,
2011,20-06-11,AB08,1,THPL,2,0,0,NA,NA,0,
2011,20-06-11,AB08,1,TSHE,40,3,18,NA,NA,27,
2011,20-06-11,AB08,2,PSME,3,0,0,NA,NA,0,
2011,20-06-11,AB08,2,THPL,2,0,0,NA,NA,0,
2011,20-06-11,AB08,2,TSHE,70,6,20,NA,NA,5,4 seeds lost during sorting (but counted)
2011,20-06-11,AB08,3,PSME,1,0,0,NA,NA,0,
2011,20-06-11,AB08,3,THPL,3,0,0,NA,NA,0,
2011,20-06-11,AB08,3,TSHE,40,6,7,NA,NA,2,cones look old (may be from previous years)
2011,20-06-11,AB08,4,PSME,3,0,0,NA,NA,0,
2011,20-06-11,AB08,4,TSHE,86,11,8,NA,NA,1,
2011,20-06-11,AB08,5,THPL,4,0,0,NA,NA,0,
2011,20-06-11,AB08,5,TSHE,34,5,21,NA,NA,2,
2011,20-06-11,AB08,6,PSME,1,0,0,NA,NA,0,multiple bags: total from each bag summed
2011,20-06-11,AB08,6,THPL,0,0,5,NA,NA,46,multiple bags: total from each bag summed
2011,20-06-11,AB08,6,TSHE,52,6,66,NA,NA,9,multiple bags: total from each bag summed
2011,03-08-11,AE10,1,ABLA,2,0,0,NA,NA,0,
2011,03-08-11,AE10,1,ABPR,0,1,0,NA,NA,0,
2011,03-08-11,AE10,1,CANO,2,0,0,NA,NA,0,
2011,03-08-11,AE10,2,ABAM,0,4,0,NA,NA,0,
2011,03-08-11,AE10,2,CANO,3,1,0,NA,NA,0,
2011,03-08-11,AE10,2,TSME,3,1,0,NA,NA,0,
2011,03-08-11,AE10,3,CANO,3,2,0,NA,NA,0,
2011,03-08-11,AE10,4,ABAM,0,1,0,NA,NA,0,
2011,03-08-11,AE10,4,CANO,0,1,0,NA,NA,0,
2011,03-08-11,AE10,5,ABAM,1,1,0,NA,NA,0,
2011,03-08-11,AE10,5,CANO,2,1,0,NA,NA,0,
2011,03-08-11,AE10,5,TSME,0,0,1,NA,NA,0,
2011,03-08-11,AE10,6,ABAM,1,0,0,NA,NA,0,
2011,03-08-11,AE10,6,CANO,2,1,0,NA,NA,0,
2011,03-08-11,AE10,6,TSME,2,1,0,NA,NA,0,
2011,13-06-11,AG05,1,ABAM,3,1,0,NA,NA,0,
2011,13-06-11,AG05,1,PSME,1,0,0,NA,NA,0,
2011,13-06-11,AG05,1,THPL,5,0,11,NA,NA,52,
2011,13-06-11,AG05,1,TSHE,5,4,0,NA,NA,0,
2011,13-06-11,AG05,2,PSME,0,2,0,NA,NA,0,
2011,13-06-11,AG05,2,THPL,3,0,21,NA,NA,52,
2011,13-06-11,AG05,2,TSHE,1,6,0,NA,NA,0,
2011,13-06-11,AG05,3,ABAM,2,1,0,NA,NA,0,
2011,13-06-11,AG05,3,PSME,3,1,0,NA,NA,0,
2011,13-06-11,AG05,3,THPL,3,0,12,NA,NA,27,
2011,13-06-11,AG05,3,TSHE,1,1,0,NA,NA,0,
2011,13-06-11,AG05,4,ABAM,1,0,0,NA,NA,0,
2011,13-06-11,AG05,4,PSME,0,2,0,NA,NA,0,
2011,13-06-11,AG05,4,THPL,10,0,15,NA,NA,66,
2011,13-06-11,AG05,4,TSHE,4,2,0,NA,NA,0,
2011,13-06-11,AG05,5,ABAM,3,0,0,NA,NA,0,
2011,13-06-11,AG05,5,PSME,2,1,0,NA,NA,0,
2011,13-06-11,AG05,5,THPL,8,0,18,NA,NA,42,
2011,13-06-11,AG05,5,TSHE,1,0,0,NA,NA,0,
2011,13-06-11,AG05,6,ABAM,1,1,0,NA,NA,0,
2011,13-06-11,AG05,6,PSME,8,1,0,NA,NA,0,
2011,13-06-11,AG05,6,THPL,14,2,6,NA,NA,34,
2011,13-06-11,AG05,6,TSHE,4,0,1,NA,NA,0,
2011,11-07-11,AM16,1,CANO,3,0,1,NA,NA,3,
2011,11-07-11,AM16,1,TSHE,10,0,3,NA,NA,1,1 seed germinated and counted as filled
