Year,Stand,Trapno,Species,Filled_seeds,Unfilled_seeds,Cones,FilledSeeds_Cones,UnfilledSeeds_Cones,Field Notes,Data Entry Notes
2019,AB08,1,ABAM,2,1,0,0,0,,
2019,AB08,1,PSME,8,2,0,0,0,,
2019,AB08,1,THPL,9,1,0,0,0,,
2019,AB08,1,TSHE,837,7,2,12,0,"filled estimated by weight, filled seeds in 3 vials labeled A, B, and C",
2019,AB08,1,TSME,1,0,0,0,0,,
2019,AB08,2,ABAM,0,1,0,0,0,,
2019,AB08,2,CANO,1,0,0,0,0,,
2019,AB08,2,PSME,2,4,0,0,0,,
2019,AB08,2,THPL,4,0,0,0,0,,
2019,AB08,2,TSHE,745,39,6,15,,filled seeds in 3 vials,
2019,AB08,3,ABAM,1,0,0,0,0,,
2019,AB08,3,PSME,4,3,0,0,0,,
2019,AB08,3,THPL,9,0,0,0,0,,
2019,AB08,3,TSHE,586,36,5,0,0,filled seeds in 3 vials,
2019,AB08,4,ABAM,1,0,0,0,0,,
2019,AB08,4,ALRU,1,0,0,0,0,,
2019,AB08,4,PSME,6,7,0,0,0,,
2019,AB08,4,THPL,9,1,0,0,0,,
2019,AB08,4,TSHE,588,25,9,4,0,filled seeds in 3 vials,
2019,AB08,5,ABAM,2,0,0,0,0,,
2019,AB08,5,PSME,6,8,0,0,0,,
2019,AB08,5,THPL,17,2,0,0,0,,
2019,AB08,5,TSHE,627,72,12,3,2,filled seeds in 3 vials,
2019,AB08,6,PSME,4,5,0,0,0,,
2019,AB08,6,THPL,16,0,0,0,0,,
2019,AB08,6,TSHE,678,49,21,4,1,filled seeds in 3 vials,
2019,AE10,1,ABAM,34,7,0,1,0,"1 cone scale with seed, 3 unfilled seeds broken in half, filled seeds in 2 vials labeled A and B",
2019,AE10,1,CANO,28,2,0,0,0,,
2019,AE10,1,TSME,2,0,0,0,0,,
2019,AE10,2,ABAM,28,5,0,0,0,filled seeds in 2 vials labeled A and B,
2019,AE10,2,CANO,20,4,0,0,0,,
2019,AE10,2,TSME,5,0,0,0,0,,
2019,AE10,3,ABAM,25,7,0,0,2,"1 cone scale with seeds, filled seeds in 2 vials labeled A and B",
2019,AE10,3,CANO,54,10,0,0,0,,
2019,AE10,3,TSME,12,1,0,0,0,,
2019,AE10,4,ABAM,30,3,0,0,0,"filled seeds in 3 vials labeled A, B, and C",
2019,AE10,4,CANO,25,2,0,0,0,,
2019,AE10,4,TSME,8,0,0,0,0,,
2019,AE10,5,ABAM,45,12,0,0,1,"1 cone scale with seed, 3 unfilled seeds broken in half, filled seeds in 4 vials labeled A, B, C, and D",
2019,AE10,5,CANO,58,1,0,0,0,,
2019,AE10,5,TSME,15,0,0,0,0,,
2019,AE10,6,ABAM,12,3,0,0,0,"3 ABIES species known in the area, very difficult to decipher the difference",
2019,AE10,6,ABLA,5,4,0,0,0,"3 ABIES species known in the area, very difficult to decipher the difference",
2019,AE10,6,ABPR,7,0,0,0,0,"3 ABIES species known in the area, very difficult to decipher the difference",
2019,AE10,6,CANO,56,0,0,0,0,,
2019,AE10,6,TSME,9,0,0,0,0,,
2019,AG05,1,ABAM,10,6,0,0,0,,
2019,AG05,1,PSME,23,16,0,0,0,broke 1 unfilled seed in half,
2019,AG05,1,THPL,232,65,1,0,0,broke 1 filled seed in thirds,
2019,AG05,1,TSHE,129,5,0,0,1,1 cone scale with seeds,
2019,AG05,2,ABAM,11,4,0,0,0,,
2019,AG05,2,PSME,19,6,0,0,0,Broke 1 filled seed in half,
2019,AG05,2,THPL,187,52,1,0,4,broke 5 unfilled seeds in half,
2019,AG05,2,TSHE,123,3,0,0,0,,
2019,AG05,3,ABAM,19,12,0,0,2,3 cone scales with seeds,
2019,AG05,3,PSME,23,7,0,0,0,,
2019,AG05,3,THPL,171,75,5,3,1,broke 5 filled seeds in half,
2019,AG05,3,TSHE,123,16,0,0,0,,
2019,AG05,4,ABAM,12,8,0,1,8,3 cone scales with seeds,
2019,AG05,4,PSME,12,17,0,0,0,,
2019,AG05,4,THPL,175,116,8,27,5,6 cone scales with seeds,
2019,AG05,4,TSHE,206,26,0,0,1,1 cone scale with seeds,
2019,AG05,5,ABAM,10,22,0,0,0,,
2019,AG05,5,PSME,33,16,0,0,0,,
2019,AG05,5,THPL,510,62,23,102,34,"13 cones scales with seeds, filled seeds in 4 vials",
2019,AG05,5,TSHE,203,8,1,0,0,,
2019,AG05,5,TSME,1,0,0,0,0,"not expected at this stand but darker, bigger, and more triangular than TSHE",
2019,AG05,6,ABAM,9,6,0,0,0,,
2019,AG05,6,ALRU,1,0,0,0,0,,
2019,AG05,6,PSME,36,19,2,15,4,,
2019,AG05,6,THPL,273,19,10,29,6,filled seeds in 2 vials,
2019,AG05,6,TSHE,305,21,0,0,0,,
2019,AM16,1,ABAM,4,0,0,0,0,,
2019,AM16,1,CANO,25,0,2,2,0,,
2019,AM16,1,TSHE,182,6,0,0,0,,
2019,AM16,1,TSME,27,2,0,0,0,,
2019,AM16,2,ABAM,4,0,0,0,0,,
2019,AM16,2,CANO,25,1,1,13,0,,
2019,AM16,2,PSME,1,3,0,0,0,,
2019,AM16,2,TSHE,409,9,0,0,0,filled seeds in 2 vials,
2019,AM16,2,TSME,33,3,0,0,0,,
2019,AM16,3,ABAM,2,0,0,0,0,,
2019,AM16,3,CANO,22,1,0,0,0,,
2019,AM16,3,TSHE,214,3,0,0,0,,
2019,AM16,3,TSME,63,2,0,0,0,,
2019,AM16,4,ABAM,1,1,0,0,0,,
2019,AM16,4,CANO,19,2,1,0,0,,
2019,AM16,4,TSHE,132,10,0,0,0,,
2019,AM16,4,TSME,48,1,0,0,0,,
2019,AM16,5,ABAM,1,0,0,0,0,,
2019,AM16,5,ALSI,2,0,0,0,0,,
2019,AM16,5,CANO,66,11,5,4,1,,
2019,AM16,5,PSME,2,2,0,0,0,,
2019,AM16,5,THPL,0,1,0,0,0,,
2019,AM16,5,TSHE,218,12,0,0,0,,
2019,AM16,5,TSME,66,4,0,0,0,,
2019,AM16,6,CANO,92,24,14,9,0,,
2019,AM16,6,PSME,1,0,0,0,0,,
2019,AM16,6,TSHE,250,27,0,0,0,,
2019,AM16,6,TSME,47,2,0,0,0,,
2019,AO03,4,ABAM,7,2,0,1,0,1 cone scale with seed,
2019,AO03,4,PSME,40,45,2,32,8,,
2019,AO03,4,THPL,1098,55,10,69,2,filled seeds in 6 vials,
2019,AO03,4,TSHE,555,56,8,16,3,filled seeds in 3 vials,
2019,AO03,5,ABAM,9,2,0,0,0,,
2019,AO03,5,PSME,73,28,5,37,26,filled seeds in 2 vials,
2019,AO03,5,THPL,832,303,1,0,2,"weighed / estimated, seeds in 6 vials",
2019,AO03,5,TSHE,393,64,5,19,2,filled seeds in 2 vials,
2019,AO03,6,ABAM,3,2,0,0,0,2 cone scales with no seeds,
2019,AO03,6,PSME,18,12,9,1,3,6 of the cones very small / too young to develop seeds,
2019,AO03,6,THPL,410,313,1,2,3,"weighed / estimated, seeds in 4 vials",
2019,AO03,6,TSHE,246,45,2,1,3,lost 1 unfilled seed after counting it (not in vial),
2019,AR07,1,ABAM,5,1,0,0,0,,
2019,AR07,1,CANO,60,1,5,17,0,,
2019,AR07,1,TSME,111,4,1,0,0,,
2019,AR07,2,ABAM,15,4,0,0,0,,
2019,AR07,2,CANO,90,0,15,2,37,,
2019,AR07,2,TSME,105,11,0,0,0,,
2019,AR07,3,ABAM,6,4,0,0,0,,
2019,AR07,3,CANO,52,3,9,13,0,,
2019,AR07,3,TSME,105,4,0,0,0,,
2019,AR07,4,ABAM,8,1,0,0,0,,
2019,AR07,4,CANO,20,2,0,0,0,,
2019,AR07,4,TSME,78,8,0,0,0,,
2019,AR07,5,ABAM,11,3,0,0,0,,
2019,AR07,5,CANO,13,1,2,3,1,,
2019,AR07,5,TSME,56,18,1,0,5,1 cone scale,
2019,AR07,6,ABAM,10,6,0,0,0,,
2019,AR07,6,CANO,35,2,8,26,0,,
2019,AR07,6,TSME,118,4,0,0,0,,
2019,AV02,1,ABAM,5,2,0,0,0,,
2019,AV02,1,PSME,2,0,0,0,0,,
2019,AV02,1,THPL,25,6,0,0,0,,
2019,AV02,1,TSHE,700,85,4,1,0,filled seeds in 3 vials,
2019,AV02,2,ABAM,11,8,0,0,0,,
2019,AV02,2,THPL,27,0,0,0,0,,
2019,AV02,2,TSHE,447,100,8,1,0,filled seeds in 2 vials,
2019,AV02,3,ABAM,14,3,0,0,0,a lot of cone scales but none with seeds attached,
2019,AV02,3,PSME,0,3,0,0,0,,
2019,AV02,3,THPL,24,1,0,0,0,,
2019,AV02,3,TSHE,492,66,7,3,0,filled seeds in 2 vials,
2019,AV02,4,ABAM,8,6,0,0,0,,
2019,AV02,4,PSME,0,1,0,0,0,,
