"country","year","stand","trapno","spp","loose_sds_filled","loose_sds_unfilled","cones","cones_sds_filled","cones_sds_unfilled","standardized_notes"
"US",2022,"AG05",1,"Thuja plicata",95,131,0,0,0,"uncertain stand (need to be checked)"
"US",2022,"AG05",1,"Pseudotsuga menziesii",58,8,0,0,0,NA
"US",2022,"AG05",1,"Abies amabalis",0,3,0,0,0,NA
"US",2022,"AG05",1,"Tsuga heterophylla",19,0,0,0,0,NA
"US",2022,"AB08",1,"Abies amabalis",2,0,0,0,0,NA
"US",2022,"AB08",1,"Tsuga heterophylla",12,73,5,0,1,NA
"US",2022,"AB08",1,"Thuja plicata",7,22,1,0,0,NA
"US",2022,"AB08",1,"Pseudotsuga menziesii",13,1,0,0,0,NA
"US",2022,"AB08",1,"Mistletoe",3,0,0,0,0,"uncertain with filled/unfilled"
"US",2022,"PARA",1,"Abies amabalis",19,7.5,0,0,0,"uncertain with species ID (ABAM/ABPR)"
"US",2022,"PARA",1,"Abies lasiocarpa",5,1,0,0,0,NA
"US",2022,"PARA",1,"Tsuga mertensiana",1,1.5,0,0,0,NA
"US",2022,"SUNR",1,"Abies lasiocarpa",23,1,0,0,0,"Species not expected for this stand; uncertain species ID"
"US",2022,"SUNR",1,"Chamaecyparis nootkatensis",3,0,0,0,0,"Species not expected for this stand"
"US",2022,"SUNR",1,"Abies amabalis",184,5,0,0,0,"uncertain with species ID (ABAM/ABLA)"
"US",2022,"SUNR",1,"Tsuga mertensiana",16,0,0,0,0,NA
"US",2022,"TA01",1,"Pseudotsuga menziesii",60,5,0,0,0,NA
"US",2022,"TA01",1,"Thuja plicata",2,0,0,0,0,NA
"US",2022,"TA01",1,"Tsuga heterophylla",1,0,0,0,0,NA
"US",2022,"AE10",1,"Abies procera",3,5,0,0,0,NA
"US",2022,"AE10",1,"Chamaecyparis nootkatensis",6,1,0,0,0,"Species not expected for this stand"
"US",2022,"AE10",1,"Pseudotsuga menziesii",0,2,0,0,0,NA
"US",2022,"AE10",1,"Abies lasiocarpa",2,0,0,0,0,NA
"US",2022,"AE10",1,"Abies amabalis",14,2,0,0,0,NA
"US",2022,"TO04",1,"Tsuga heterophylla",6,97,11,0,35,NA
"US",2022,"TO04",1,"Thuja plicata",42,135,0,0,0,NA
"US",2022,"TO04",1,"Abies grandis",0,2,0,0,0,"Species not expected for this stand"
"US",2022,"TO04",1,"Pseudotsuga menziesii",7,27,0,0,0,NA
"US",2022,"AO03",1,"Thuja plicata",194,460,3,0,11,NA
"US",2022,"AO03",1,"Tsuga heterophylla",71,246,23,5,29,NA
"US",2022,"AO03",1,"Abies amabalis",1,3,0,0,0,NA
"US",2022,"AO03",1,"Pseudotsuga menziesii",0,9,0,0,0,NA
"US",2022,"AM16",1,"Tsuga mertensiana",13,7,0,0,0,"Species not expected for this stand"
"US",2022,"AM16",1,"Tsuga heterophylla",37,107,0,0,0,NA
"US",2022,"AM16",1,"Alnus viridis",0,1,0,0,0,NA
"US",2022,"AM16",1,"Abies amabalis",0,1,0,0,0,NA
"US",2022,"AM16",1,"Pseudotsuga menziesii",1,1,0,0,0,NA
"US",2022,"AM16",1,"Chamaecyparis nootkatensis",6,5,0,0,0,"Species not expected for this stand"
"US",2022,"AV06",1,"Tsuga heterophylla",12,84,0,0,0,NA
"US",2022,"AV06",1,"Thuja plicata",2,10,0,0,0,NA
"US",2022,"AV06",1,"Pseudotsuga menziesii",0,3,0,0,0,NA
"US",2022,"AV06",1,"Abies amabalis",1,0,0,0,0,NA
"US",2022,"AV06",1,"Tsuga heterophylla",4,23,0,0,0,NA
"US",2022,"AV06",1,"Thuja plicata",6,13,0,0,0,NA
"US",2022,"AV06",1,"Pseudotsuga menziesii",3,4,0,0,0,NA
"US",2022,"AV06",1,"Abies amabalis",0,3,0,0,0,NA
"US",2022,"AB08",2,"Thuja plicata",19,25,0,0,0,NA
"US",2022,"AB08",2,"Pseudotsuga menziesii",17,2,0,0,0,NA
"US",2022,"AB08",2,"Abies amabalis",2,0,0,0,0,NA
"US",2022,"AB08",2,"Tsuga heterophylla",147,4,10,2,0,NA
"US",2022,"AB08",2,"Tsuga mertensiana",1,0,0,0,0,"Species not expected for this stand"
"US",2022,"TA01",2,"Thuja plicata",1,0,0,0,0,NA
"US",2022,"TA01",2,"Pseudotsuga menziesii",45,19,0,0,0,NA
"US",2022,"AO03",2,"Abies amabalis",10,5,0,0,0,NA
"US",2022,"AO03",2,"Pseudotsuga menziesii",5,2,0,0,0,NA
"US",2022,"AO03",2,"Tsuga heterophylla",65,301,7,0,0,NA
"US",2022,"AO03",2,"Thuja plicata",110,731,3,0,0,NA
"US",2022,"SUNR",2,"Tsuga mertensiana",17,5,0,0,0,NA
"US",2022,"SUNR",2,"Tsuga heterophylla",1,0,0,0,0,"uncertain species ID"
"US",2022,"SUNR",2,"Chamaecyparis nootkatensis",1,0.5,0,0,0,"Species not expected for this stand"
"US",2022,"SUNR",2,"Abies lasiocarpa",27,9,0,0,0,"Species not expected for this stand; uncertain species ID (ABLA/ABA)"
