"year","stand","trapno","spp","loose_sds_filled","loose_sds_unfilled","cones","cones_sds_filled","cones_sds_unfilled","cones_sds_all","standardized_notes"
2016,"AB08",1,"ABAM",1,0,0,0,0,0,""
2016,"AB08",1,"PSME",1,0,0,0,0,0,""
2016,"AB08",1,"THPL",1,0,0,0,0,0,""
2016,"AB08",1,"TSHE",53,49,6,11,6,17,""
2016,"AB08",2,"THPL",0,1,0,0,0,0,""
2016,"AB08",2,"TSHE",77,97,7,7,6,13,""
2016,"AB08",3,"ABAM",1,0,0,0,0,0,""
2016,"AB08",3,"THPL",0,1,0,0,0,0,""
2016,"AB08",3,"TSHE",60,12,3,1,1,2,""
2016,"AB08",4,"TSHE",69,25,6,3,8,11,""
2016,"AB08",5,"PSME",1,0,0,0,0,0,""
2016,"AB08",5,"THPL",2,0,0,0,0,0,""
2016,"AB08",5,"TSHE",109,33,12,2,0,2,""
2016,"AB08",6,"THPL",0,0,1,0,1,1,""
2016,"AB08",6,"TSHE",83,23,25,5,0,5,""
2016,"AE10",1,"ABAM",1,0,0,0,0,0,""
2016,"AE10",1,"ABLA",1,3,0,0,0,0,""
2016,"AE10",1,"ABPR",4,1,0,0,0,0,""
2016,"AE10",1,"TSME",2,2,0,0,0,0,""
2016,"AE10",2,"ABAM",4,0,0,0,0,0,""
2016,"AE10",2,"ABLA",2,2,0,0,0,0,""
2016,"AE10",2,"ABPR",2,1,0,0,0,0,""
2016,"AE10",3,"ABAM",6,1,0,0,0,0,""
2016,"AE10",3,"ABLA",4,3,0,0,0,0,""
2016,"AE10",3,"ABPR",3,2,0,0,0,0,""
2016,"AE10",3,"CANO",1,0,0,0,0,0,""
2016,"AE10",3,"TSME",1,0,0,0,0,0,""
2016,"AE10",4,"ABAM",6,5,0,0,0,0,""
2016,"AE10",4,"ABLA",1,0,0,0,0,0,""
2016,"AE10",5,"ABAM",12,5,0,0,0,0,""
2016,"AE10",5,"PSME",1,2,0,0,0,0,""
2016,"AE10",5,"TSME",1,0,0,0,0,0,""
2016,"AE10",6,"ABAM",2,9,0,0,0,0,""
2016,"AG05",1,"ABAM",1,1,0,0,0,0,"Lots of blow down in stand in 2016. May bias data?"
2016,"AG05",1,"PSME",5,9,0,0,0,0,"Lots of blow down in stand in 2016. May bias data?"
2016,"AG05",1,"THPL",3,12,4,3,17,20,"Lots of blow down in stand in 2016. May bias data?"
2016,"AG05",1,"TSHE",2,13,0,0,0,0,"Lots of blow down in stand in 2016. May bias data?"
2016,"AG05",2,"ABAM",1,4,0,0,0,0,"Lots of blow down in stand in 2016. May bias data?"
2016,"AG05",2,"PSME",6,7,0,0,0,0,"Lots of blow down in stand in 2016. May bias data?"
2016,"AG05",2,"THPL",0,2,13,14,73,87,"Lots of blow down in stand in 2016. May bias data?"
2016,"AG05",2,"TSHE",3,8,0,0,0,0,"Lots of blow down in stand in 2016. May bias data?"
2016,"AG05",3,"ABAM",2,6,0,0,1,1,"Lots of blow down in stand in 2016. May bias data?"
2016,"AG05",3,"ABGR",2,0,0,0,0,0,"Lots of blow down in stand in 2016. May bias data?"
2016,"AG05",3,"PSME",8,36,1,2,5,7,"Lots of blow down in stand in 2016. May bias data?"
2016,"AG05",3,"THPL",0,0,4,0,6,6,"Lots of blow down in stand in 2016. May bias data?"
2016,"AG05",3,"TSHE",2,9,0,0,0,0,"Lots of blow down in stand in 2016. May bias data?"
2016,"AG05",5,"ABAM",0,3,0,0,0,0,"Lots of blow down in stand in 2016. May bias data?"
2016,"AG05",5,"PSME",3,2,0,0,0,0,"Lots of blow down in stand in 2016. May bias data?"
2016,"AG05",5,"TABR",1,0,0,0,0,0,"Lots of blow down in stand in 2016. May bias data?"
2016,"AG05",5,"THPL",2,2,6,20,9,29,"Lots of blow down in stand in 2016. May bias data?"
2016,"AG05",5,"TSHE",8,4,0,0,0,0,"Lots of blow down in stand in 2016. May bias data?"
2016,"AG05",6,"ABAM",1,0,0,0,0,0,"Lots of blow down in stand in 2016. May bias data?"
2016,"AG05",6,"PSME",9,8,0,0,2,2,"Lots of blow down in stand in 2016. May bias data?"
2016,"AG05",6,"THPL",2,2,2,11,10,21,"Lots of blow down in stand in 2016. May bias data?"
2016,"AG05",6,"TSHE",6,29,0,0,0,0,"Lots of blow down in stand in 2016. May bias data?"
2016,"AM16",1,"CANO",0,0,1,7,0,7,""
2016,"AM16",1,"PSME",0,1,0,0,0,0,""
2016,"AM16",1,"TSHE",6,37,0,0,0,0,""
2016,"AM16",1,"TSME",14,58,0,0,0,0,""
2016,"AM16",2,"ABAM",1,0,0,0,0,0,""
2016,"AM16",2,"TSHE",13,34,1,0,0,0,""
2016,"AM16",2,"TSME",20,33,1,1,0,1,""
2016,"AM16",3,"ABAM",0,1,0,0,0,0,""
2016,"AM16",3,"TSHE",6,37,0,0,0,0,""
2016,"AM16",3,"TSME",14,15,3,7,7,14,""
2016,"AM16",4,"PSME",1,0,0,0,0,0,""
2016,"AM16",4,"TSHE",31,33,0,0,0,0,""
2016,"AM16",4,"TSME",21,11,1,0,0,0,""
2016,"AM16",5,"PSME",0,1,0,0,0,0,""
2016,"AM16",5,"TSHE",41,55,0,0,0,0,""
2016,"AM16",5,"TSME",54,33,0,0,0,0,""
2016,"AM16",6,"ABAM",0,1,0,0,0,0,""
2016,"AM16",6,"CANO",2,0,2,0,0,0,""
2016,"AM16",6,"TSHE",11,29,0,0,0,0,""
2016,"AM16",6,"TSME",17,30,0,0,0,0,"1 seed lost (JHRL - assumed lost while archiving, but counted)"
2016,"AO03",1,"THPL",15,56,1,3,0,3,""
2016,"AO03",1,"TSHE",33,118,15,27,45,72,""
2016,"AO03",2,"PSME",2,0,0,0,0,0,""
2016,"AO03",2,"THPL",25,71,8,12,18,30,""
2016,"AO03",2,"TSHE",61,95,11,27,29,56,""
2016,"AO03",3,"PSME",0,4,0,0,0,0,""
2016,"AO03",3,"THPL",12,41,7,15,14,29,""
2016,"AO03",3,"TSHE",71,103,50,239,175,414,""
2016,"AO03",4,"PSME",4,3,3,2,4,6,""
2016,"AO03",4,"THPL",26,48,8,5,29,34,""
2016,"AO03",4,"TSHE",141,61,19,21,27,48,""
2016,"AO03",5,"PSME",2,4,6,0,3,3,""
2016,"AO03",5,"THPL",19,38,0,0,0,0,""
2016,"AO03",5,"TSHE",19,47,5,0,7,7,""
2016,"AO03",6,"ABAM",2,8,0,0,0,0,""
2016,"AO03",6,"ALRU",0,2,0,0,0,0,""
2016,"AO03",6,"CANO",2,0,0,0,0,0,""
2016,"AO03",6,"PSME",5,12,7,15,5,20,""
2016,"AO03",6,"THPL",6,19,2,0,0,0,""
2016,"AO03",6,"TSHE",57,60,3,7,7,14,""
2016,"AR07",1,"ABAM",1,0,0,0,0,0,""
2016,"AR07",1,"CANO",2,0,1,2,0,2,""
2016,"AR07",1,"TSME",10,2,3,46,38,84,""
2016,"AR07",2,"TSME",4,3,0,0,0,0,""
2016,"AR07",3,"ABAM",2,0,0,0,0,0,""
2016,"AR07",3,"CANO",1,0,3,0,0,0,""
2016,"AR07",3,"TSME",2,0,0,0,0,0,""
2016,"AR07",4,"TSME",3,3,0,0,0,0,""
2016,"AR07",5,"CANO",2,0,0,0,0,0,""
2016,"AR07",5,"TSME",9,3,1,7,9,16,""
2016,"AR07",6,"TSME",4,3,0,0,0,0,""
2016,"AV02",1,"TSHE",133,94,8,0,2,2,""
2016,"AV02",2,"ABAM",1,0,0,0,0,0,""
2016,"AV02",2,"TSHE",135,53,14,24,5,29,""
2016,"AV02",3,"ABAM",1,0,0,0,0,0,""
2016,"AV02",3,"PSME",1,0,0,0,0,0,""
2016,"AV02",3,"TSHE",204,120,23,31,6,37,""
2016,"AV02",4,"TSHE",70,38,17,7,6,13,""
2016,"AV02",5,"PSME",1,0,0,0,0,0,""
2016,"AV02",5,"TSHE",145,113,9,0,1,1,""
2016,"AV02",6,"ABAM",7,4,0,0,0,0,""
2016,"AV02",6,"TSHE",141,85,5,0,3,3,""
2016,"AV06",1,"PSME",1,0,0,0,0,0,""
2016,"AV06",1,"TSHE",13,46,6,0,15,15,""
2016,"AV06",2,"ABAM",0,1,0,0,0,0,""
2016,"AV06",2,"PSME",3,0,0,0,0,0,""
2016,"AV06",2,"TSHE",10,66,26,4,29,33,""
2016,"AV06",3,"ABAM",2,0,0,0,0,0,""
2016,"AV06",3,"PSME",1,1,0,0,0,0,""
2016,"AV06",3,"TSHE",25,70,22,17,48,65,""
2016,"AV06",4,"PSME",1,1,0,0,0,0,""
2016,"AV06",4,"TSHE",13,24,9,5,9,14,""
2016,"AV06",5,"ABAM",1,1,0,0,0,0,""
2016,"AV06",5,"PSME",1,2,0,0,0,0,""
2016,"AV06",5,"TSHE",4,15,0,0,0,0,""
2016,"AV06",6,"ABAM",0,1,0,0,0,0,""
2016,"AV06",6,"PSME",1,0,0,0,0,0,""
2016,"AV06",6,"TSHE",8,11,0,0,0,0,""
2016,"AV14",1,"PSME",1,0,0,0,0,0,""
2016,"AV14",1,"TSHE",116,42,8,1,2,3,""
2016,"AV14",2,"ABAM",2,1,0,0,0,0,""
2016,"AV14",2,"TSHE",354,65,10,29,22,51,""
2016,"AV14",3,"TSHE",39,53,14,24,5,29,""
2016,"AV14",4,"TSHE",279,77,88,745,99,844,""
2016,"AV14",5,"TSHE",274,42,86,269,89,358,""
2016,"AV14",6,"ABAM",1,0,0,0,0,0,""
2016,"AV14",6,"TSHE",248,65,38,78,16,94,""
2016,"AX15",1,"PSME",0,1,0,0,0,0,""
2016,"AX15",1,"THPL",0,0,13,24,19,43,""
2016,"AX15",1,"TSHE",57,33,4,3,0,3,""
2016,"AX15",2,"PSME",1,4,0,0,0,0,"Species ID not very certain"
2016,"AX15",2,"TSHE",66,49,3,5,8,13,""
2016,"AX15",3,"PSME",1,0,0,0,0,0,""
2016,"AX15",3,"THPL",0,0,1,1,1,2,""
2016,"AX15",3,"TSHE",57,50,2,1,0,1,""
2016,"AX15",4,"PSME",1,0,0,0,0,0,""
2016,"AX15",4,"TSHE",41,41,4,2,0,2,""
2016,"AX15",5,"TSHE",89,48,5,0,2,2,""
2016,"AX15",6,"TSHE",146,180,9,3,7,10,""
2016,"PARA",1,"ABAM",35,23,0,0,0,0,"Filled seeds are in 3 different vials"
2016,"PARA",1,"ABLA",4,1,0,0,0,0,""
2016,"PARA",1,"TSME",10,4,0,0,0,0,""
2016,"PARA",3,"ABAM",15,18,0,0,0,0,""
2016,"PARA",3,"ABLA",12,8,0,0,0,0,""
2016,"PARA",3,"TSME",51,20,1,11,0,11,""
2016,"PARA",4,"ABAM",13,4,0,0,0,0,""
2016,"PARA",4,"ABLA",9,2,0,0,0,0,""
2016,"PARA",4,"TSME",50,20,1,1,1,2,""
2016,"PARA",5,"ABAM",12,8,0,0,0,0,""
2016,"PARA",5,"ABLA",3,1,0,0,0,0,""
2016,"PARA",5,"TSME",41,8,2,44,28,72,""
2016,"PARA",6,"ABAM",28,2,0,0,0,0,""
2016,"PARA",6,"ABLA",11,3,0,0,0,0,""
2016,"PARA",6,"PSME",0,1,0,0,0,0,""
2016,"PARA",6,"TSME",80,9,3,31,7,38,""
2016,"PP17",1,"PICO",5,5,0,0,0,0,""
2016,"PP17",1,"PIEN",0,1,0,0,0,0,""
2016,"PP17",1,"PSME",2,3,0,0,0,0,""
2016,"PP17",1,"TSHE",1,1,0,0,0,0,""
2016,"PP17",2,"ALRU",6,2,0,0,0,0,""
2016,"PP17",2,"PICO",3,6,1,0,0,0,""
2016,"PP17",2,"PIEN",4,2,0,0,0,0,""
2016,"PP17",2,"PSME",2,3,0,0,0,0,""
2016,"PP17",2,"TSHE",1,1,0,0,0,0,""
2016,"PP17",2,"TSME",8,8,0,6,0,6,""
2016,"PP17",3,"ALRU",5,0,0,0,0,0,""
2016,"PP17",3,"PSME",4,4,0,0,0,0,""
2016,"PP17",3,"TSHE",1,0,0,0,0,0,""
2016,"PP17",3,"TSME",3,1,0,0,0,0,""
2016,"PP17",4,"PICO",3,6,0,0,0,0,""
2016,"PP17",4,"PSME",2,1,0,0,0,0,""
2016,"PP17",4,"TSHE",0,3,0,0,0,0,""
2016,"PP17",5,"ABGR",1,0,0,0,0,0,""
2016,"PP17",5,"PIEN",0,2,0,0,0,0,""
2016,"PP17",5,"PSME",1,14,0,0,0,0,""
2016,"PP17",5,"THPL",2,0,0,0,0,0,""
2016,"PP17",5,"TSHE",1,0,0,0,0,0,""
2016,"PP17",6,"PICO",1,2,0,0,0,0,""
2016,"PP17",6,"PIEN",1,3,0,0,0,0,""
2016,"PP17",6,"PSME",5,3,1,4,1,5,""
2016,"SPRY",1,"ABAM",14,7,0,0,0,0,""
2016,"SPRY",1,"ABLA",7,2,0,0,0,0,""
2016,"SPRY",1,"CANO",5,2,0,0,0,0,""
2016,"SPRY",1,"PSME",1,0,0,0,0,0,""
2016,"SPRY",1,"TSME",62,16,1,0,0,0,""
2016,"SPRY",2,"ABAM",12,6,0,0,0,0,""
2016,"SPRY",2,"ABLA",3,3,0,0,0,0,""
2016,"SPRY",2,"CANO",16,1,0,0,0,0,""
2016,"SPRY",2,"TSME",46,24,1,11,6,17,""
2016,"SPRY",3,"ABAM",12,1,0,0,0,0,""
2016,"SPRY",3,"ABLA",2,3,0,0,0,0,""
2016,"SPRY",3,"ABPR",5,1,0,0,0,0,""
2016,"SPRY",3,"CANO",36,2,2,6,2,8,"removed 10 seeds for seed / cone key"
2016,"SPRY",3,"TSME",47,4,1,15,7,22,""
2016,"SPRY",4,"ABAM",20,10,0,0,0,0,""
2016,"SPRY",4,"ABLA",13,11,0,0,0,0,""
2016,"SPRY",4,"ABPR",5,3,0,0,0,0,""
2016,"SPRY",4,"CANO",19,0,0,4,0,4,""
2016,"SPRY",4,"TSME",84,4,0,0,0,0,""
2016,"SPRY",5,"ABAM",21,11,0,0,0,0,""
2016,"SPRY",5,"ABLA",16,2,0,1,1,2,"two cone seeds on scales, no full cones present"
2016,"SPRY",5,"ABPR",16,2,0,0,0,0,""
2016,"SPRY",5,"CANO",20,0,0,0,0,0,""
2016,"SPRY",5,"TSME",94,11,0,0,0,0,""
2016,"SPRY",6,"ABAM",26,15,0,0,0,0,""
2016,"SPRY",6,"ABLA",5,9,0,0,0,0,""
2016,"SPRY",6,"ABPR",18,10,0,0,0,0,""
2016,"SPRY",6,"ALRU",1,0,0,0,0,0,""
2016,"SPRY",6,"CANO",33,0,6,10,0,10,""
2016,"SPRY",6,"TSME",41,4,0,0,0,0,""
2016,"SUNR",1,"ABAM",23,16,0,0,0,0,""
2016,"SUNR",1,"ABLA",5,6,0,0,0,0,""
2016,"SUNR",1,"CANO",4,4,0,0,0,0,""
2016,"SUNR",1,"PIEN",1,0,0,0,0,0,""
2016,"SUNR",1,"TSME",3,2,0,0,0,0,""
2016,"SUNR",2,"ABAM",20,8,0,2,0,2,"seeds found on scales"
2016,"SUNR",2,"ABLA",2,0,0,0,0,0,""
2016,"SUNR",2,"CANO",1,0,0,0,0,0,""
2016,"SUNR",2,"TSME",1,4,0,0,0,0,"1 seed lost (JHRL - assumed lost while archiving, but counted)"
2016,"SUNR",3,"ABAM",14,7,0,0,0,0,""
2016,"SUNR",3,"ABLA",3,5,0,0,0,0,""
2016,"SUNR",3,"ABPR",2,0,0,0,0,0,""
2016,"SUNR",3,"CANO",3,3,0,0,0,0,""
2016,"SUNR",3,"TSME",5,8,0,0,0,0,""
2016,"SUNR",4,"ABAM",14,5,0,0,0,0,""
2016,"SUNR",4,"ABLA",3,2,0,0,0,0,""
2016,"SUNR",4,"CANO",8,5,0,0,0,0,""
2016,"SUNR",4,"TSME",7,5,0,0,0,0,""
2016,"SUNR",5,"ABAM",23,11,0,0,0,0,""
2016,"SUNR",5,"ABLA",13,7,0,0,0,0,""
2016,"SUNR",5,"ABPR",3,1,0,0,0,0,""
2016,"SUNR",5,"CANO",7,1,0,0,0,0,""
2016,"SUNR",5,"TSME",2,3,1,0,0,0,""
2016,"SUNR",6,"ABAM",17,9,0,0,0,0,""
2016,"SUNR",6,"ABLA",7,2,0,0,0,0,""
2016,"SUNR",6,"TSME",2,1,0,0,0,0,""
2016,"TA01",2,"PSME",3,3,0,0,0,0,""
2016,"TA01",2,"TSHE",1,0,0,0,0,0,""
2016,"TA01",3,"PSME",1,0,0,0,0,0,""
2016,"TA01",3,"TSHE",0,2,0,0,0,0,""
2016,"TA01",4,"PSME",0,2,1,0,0,0,""
2016,"TA01",4,"TSHE",5,2,0,0,0,0,""
2016,"TA01",5,"PSME",4,3,1,11,4,15,""
2016,"TA01",5,"THPL",0,2,0,0,0,0,""
2016,"TA01",5,"TSHE",4,7,0,0,0,0,""
2016,"TA01",6,"PSME",1,2,0,0,0,0,""
2016,"TA01",6,"TSHE",0,3,0,0,0,0,""
2016,"TB13",1,"THPL",0,0,2,4,4,8,""
2016,"TB13",1,"TSHE",66,30,2,1,1,2,""
2016,"TB13",2,"PSME",0,0,1,0,3,3,""
2016,"TB13",2,"THPL",0,1,0,0,0,0,""
2016,"TB13",2,"TSHE",52,62,4,16,13,29,""
2016,"TB13",3,"TSHE",37,41,12,35,36,71,""
2016,"TB13",4,"THPL",1,3,5,15,18,33,""
2016,"TB13",4,"TSHE",73,43,4,34,7,41,""
2016,"TB13",5,"THPL",2,2,12,34,39,73,""
2016,"TB13",5,"TSHE",31,21,12,12,0,12,""
2016,"TB13",6,"THPL",0,6,46,161,242,403,""
