"year","stand","trapno","spp","loose_sds_filled","loose_sds_unfilled","cones","cones_sds_filled","cones_sds_unfilled","cone_sds_all","standardized_notes"
2021,"TO04",1,"PSME",1,0,0,0,0,0,NA
2021,"TO04",1,"THPL",23,0,3,0,0,0,NA
2021,"TO04",1,"TSHE",95,44,12,7,10,17,NA
2021,"AV06",4,"ABAM",2,0,0,0,0,0,NA
2021,"AV06",4,"ALVI",0,1,0,0,0,0,"uncertain species ID"
2021,"AV06",4,"TSHE",4,0,13,3,0,3,NA
2021,"AV06",4,"THPL",1,0,0,0,0,0,"uncertain with filled/unfilled"
2021,"AE10",4,"CANO",7,1,0,0,0,0,"Species not expected for this stand"
2021,"AO03",6,"TSHE",22,1,2,0,0,0,NA
2021,"AO03",6,"ABAM",1,0,0,0,0,0,NA
2021,"AO03",6,"PSME",1,0,5,7,3,10,NA
2021,"AO03",6,"THPL",7,2,3,6,0,6,NA
2021,"AM16",2,"CANO",2,2,1,2,0,2,"Species not expected for this stand"
2021,"AM16",2,"PSME",1,0,0,0,0,0,NA
2021,"TA01",6,"TSHE",63,2,0,0,0,0,NA
2021,"TA01",6,"THPL",0,1,0,0,0,0,NA
2021,"TA01",6,"ABPR",1,0,0,0,0,0,"uncertain species ID (ABPR/ABAM)"
2021,"TA01",6,"PSME",0,1,0,0,0,0,NA
2021,"TA01",2,"THPL",1,0,0,0,0,0,NA
2021,"TA01",2,"PSME",3,0,0,0,0,0,NA
2021,"TA01",2,"TSHE",26,3,0,0,0,0,NA
2021,"TA01",5,"TSHE",43,3,0,0,0,0,NA
2021,"TA01",5,"PSME",2,0,2,2,16,18,NA
2021,"AO03",5,"PSME",0,3,3,7,18,25,NA
2021,"AO03",5,"TSHE",27,12,6,2,2,4,NA
2021,"AO03",5,"THPL",3,4,9,55,5,60,NA
2021,"AO03",5,"ABAM",0,2,0,0,0,0,"uncertain species ID"
2021,"AB08",4,"TSHE",20,2,7,0,0,0,NA
2021,"AB08",4,"PSME",0,1,0,0,0,0,NA
2021,"AB08",4,"CANO",1,4,0,0,0,0,NA
2021,"AB08",4,"THPL",1,0,0,0,0,0,NA
2021,"TA01",4,"TSHE",64,2,0,0,0,0,NA
2021,"AM16",5,"TSHE",3,1,0,0,0,0,NA
2021,"AM16",5,"TSME",3,0,0,0,0,0,"Species not expected for this stand"
2021,"AM16",5,"CANO",14,11,4,1,0,1,"Species not expected for this stand"
2021,"AM16",5,"ABAM",0,1,0,0,0,0,"uncertain species ID (ABLA/ABAM)"
2021,"AB08",6,"TSHE",19,0,22,0,0,0,NA
2021,"AB08",6,"THPL",2,1,1,4,6,10,NA
2021,"AB08",6,"PSME",0,2,0,0,0,0,NA
2021,"AB08",6,"ALVI",1,0,0,0,0,0,"Species not expected for this stand; uncertain species ID (Alnus)"
2021,"PARA",4,"TSME",1,0,1,0,0,0,NA
2021,"PARA",4,"ABAM",1,0,0,0,0,0,"uncertain species ID"
2021,"PARA",4,"ABLA",0,1,0,0,0,0,"uncertain species ID"
2021,"AO03",2,"THPL",15,4,15,33,14,47,NA
2021,"AO03",2,"TSHE",19,6,11,0,0,0,NA
2021,"AO03",2,"ABAM",1,0,0,0,0,0,NA
2021,"SUNR",5,"TSME",0,0,1,39,0,39,NA
2021,"SUNR",5,"CANO",1,1,0,0,0,0,"Species not expected for this stand"
2021,"SUNR",5,"ABLA",0,1,0,0,0,0,"Species not expected for this stand"
2021,"AB08",5,"TSHE",23,5,9,4,0,4,NA
2021,"AB08",5,"THPL",2,0,0,0,0,0,NA
2021,"AB08",5,"CANO",1,0,0,0,0,0,NA
2021,"PARA",3,"THPL",2,0,0,0,0,0,NA
2021,"PARA",3,"TSME",1,0,0,0,0,0,NA
2021,"PARA",3,"PIEN",1,0,0,0,0,0,"uncertain species ID"
2021,"PARA",3,"CANO",0,1,0,0,0,0,NA
2021,"PARA",3,"ABAM",2,0,0,0,0,0,NA
2021,"PARA",5,"TSME",1,0,0,0,0,0,NA
2021,"PARA",1,"TSME",2,0,0,0,0,0,NA
2021,"PARA",1,"ABAM",2,0,0,0,0,0,NA
2021,"PARA",6,"TSME",1,0,0,0,0,0,NA
2021,"PARA",6,"CANO",1,0,0,0,0,0,NA
2021,"PARA",2,"TSME",2,0,1,0,0,0,NA
2021,"SUNR",6,"CANO",2,0,0,0,0,0,"Species not expected for this stand"
2021,"SUNR",3,"CANO",1,0,0,0,0,0,"Species not expected for this stand"
