"stand","trap","year","side","firstyeardata","trap.X","size","species","filledseeds","emptyseeds","cones","conefilledseeds","coneemptyseeds","totfilledseeds","totemptyseeds","allseeds"
"AB08",1,2010,"E",2010,38.8,0.17008125,"TSHE",452,83,5,0,0,2657.55337522508,488.002057840003,3145.55543306508
"AB08",1,2010,"E",2010,38.8,0.17008125,"ABAM",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",1,2010,"E",2010,38.8,0.17008125,"THPL",5,0,0,0,0,29.397714327711,0,29.397714327711
"AB08",1,2010,"E",2010,38.8,0.17008125,"PSME",2,0,0,0,0,11.7590857310844,0,11.7590857310844
"AB08",1,2011,"E",2010,38.8,0.17008125,"TSHE",40,3,18,0,0,235.181714621688,17.6386285966266,252.820343218315
"AB08",1,2011,"E",2010,38.8,0.17008125,"THPL",2,0,0,0,0,11.7590857310844,0,11.7590857310844
"AB08",1,2011,"E",2010,38.8,0.17008125,"PSME",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",1,2012,"E",2010,38.8,0.17008125,"PSME",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",1,2012,"E",2010,38.8,0.17008125,"TSHE",298,11,9,0,0,1752.10377393158,64.6749715209642,1816.77874545254
"AB08",1,2012,"E",2010,38.8,0.17008125,"THPL",69,4,0,0,0,405.688457722412,23.5181714621688,429.206629184581
"AB08",1,2012,"E",2010,38.8,0.17008125,"ABAM",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",1,2013,"E",2010,38.8,0.17008125,"THPL",1,4,0,0,0,5.8795428655422,23.5181714621688,29.397714327711
"AB08",1,2013,"E",2010,38.8,0.17008125,"PSME",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",1,2013,"E",2010,38.8,0.17008125,"TSHE",6,7,5,0,0,35.2772571932532,41.1568000587954,76.4340572520487
"AB08",1,2014,"E",2010,38.8,0.17008125,"PSME",20,1,0,0,0,117.590857310844,5.8795428655422,123.470400176386
"AB08",1,2014,"E",2010,38.8,0.17008125,"ABAM",1,4,0,0,0,5.8795428655422,23.5181714621688,29.397714327711
"AB08",1,2014,"E",2010,38.8,0.17008125,"THPL",9,13,0,0,0,52.9158857898798,76.4340572520487,129.349943041928
"AB08",1,2014,"E",2010,38.8,0.17008125,"TSHE",232,165,6,0,0,1364.05394480579,970.124572814464,2334.17851762026
"AB08",1,2015,"E",2010,38.8,0.17008125,"THPL",1,2,0,0,0,5.8795428655422,11.7590857310844,17.6386285966266
"AB08",1,2015,"E",2010,38.8,0.17008125,"CANO",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",1,2015,"E",2010,38.8,0.17008125,"TSHE",26,35,3,0,0,152.868114504097,205.784000293977,358.652114798074
"AB08",1,2015,"E",2010,38.8,0.17008125,"PSME",0,3,0,0,0,0,17.6386285966266,17.6386285966266
"AB08",1,2016,"E",2010,38.8,0.17008125,"ABAM",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",1,2016,"E",2010,38.8,0.17008125,"PSME",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",1,2016,"E",2010,38.8,0.17008125,"TSHE",53,49,6,11,6,376.290743394701,323.374857604821,699.665600999522
"AB08",1,2016,"E",2010,38.8,0.17008125,"THPL",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",1,2017,"E",2010,38.8,0.17008125,"TSHE",196,84,6,0,0,1152.39040164627,493.881600705545,1646.27200235182
"AB08",1,2017,"E",2010,38.8,0.17008125,"THPL",4,2,0,0,0,23.5181714621688,11.7590857310844,35.2772571932532
"AB08",1,2018,"E",2010,38.8,0.17008125,"THPL",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",1,2018,"E",2010,38.8,0.17008125,"TSHE",5,22,11,0,0,29.397714327711,129.349943041928,158.74765736964
"AB08",1,2019,"E",2010,38.8,0.17008125,"PSME",8,2,0,0,0,47.0363429243376,11.7590857310844,58.795428655422
"AB08",1,2019,"E",2010,38.8,0.17008125,"TSME",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",1,2019,"E",2010,38.8,0.17008125,"THPL",9,1,0,0,0,52.9158857898798,5.8795428655422,58.795428655422
"AB08",1,2019,"E",2010,38.8,0.17008125,"ABAM",2,1,0,0,0,11.7590857310844,5.8795428655422,17.6386285966266
"AB08",1,2019,"E",2010,38.8,0.17008125,"TSHE",837,7,2,12,0,4991.73189284533,41.1568000587954,5032.88869290413
"AB08",1,2020,"E",2010,38.8,0.17008125,"TSHE",26,4,7,2,0,164.627200235182,23.5181714621688,188.145371697351
"AB08",1,2020,"E",2010,38.8,0.17008125,"PSME",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",1,2020,"E",2010,38.8,0.17008125,"THPL",3,0,0,0,0,17.6386285966266,0,17.6386285966266
"AB08",1,2021,"E",2010,38.8,0.17008125,"PSME",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",1,2021,"E",2010,38.8,0.17008125,"TSHE",13,0,7,0,0,76.4340572520487,0,76.4340572520487
"AB08",1,2022,"E",2010,38.8,0.17008125,"Mistletoe",3,0,0,0,0,17.6386285966266,0,17.6386285966266
"AB08",1,2022,"E",2010,38.8,0.17008125,"PSME",13,1,0,0,0,76.4340572520487,5.8795428655422,82.3136001175909
"AB08",1,2022,"E",2010,38.8,0.17008125,"ABAM",2,0,0,0,0,11.7590857310844,0,11.7590857310844
"AB08",1,2022,"E",2010,38.8,0.17008125,"THPL",7,22,1,0,0,41.1568000587954,129.349943041928,170.506743100724
"AB08",1,2022,"E",2010,38.8,0.17008125,"TSHE",12,73,5,0,1,70.5545143865065,435.086172050123,505.64068643663
"AB08",2,2010,"E",2010,45.2,0.17008125,"TSHE",331,29,8,0,0,1946.12868849447,170.506743100724,2116.63543159519
"AB08",2,2010,"E",2010,45.2,0.17008125,"ABAM",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",2,2010,"E",2010,45.2,0.17008125,"THPL",8,0,0,0,0,47.0363429243376,0,47.0363429243376
"AB08",2,2010,"E",2010,45.2,0.17008125,"PSME",1,0,0,0,0,5.8795428655422,0,5.8795428655422
"AB08",2,2011,"E",2010,45.2,0.17008125,"PSME",3,0,0,0,0,17.6386285966266,0,17.6386285966266
"AB08",2,2011,"E",2010,45.2,0.17008125,"THPL",2,0,0,0,0,11.7590857310844,0,11.7590857310844
"AB08",2,2011,"E",2010,45.2,0.17008125,"TSHE",70,6,20,0,0,411.568000587954,35.2772571932532,446.845257781208
